ID_Motif,Support,Document,Structure_Abstraite,Exemples_du_Texte
23,73,FR100003,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""épanchement"" --(CONTAINS)--> ""TDM"" | ""TDM"" --(BEFORE)--> ""panoramique"""
23,73,FR100132,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""baisse"" --(CONTAINS)--> ""consultation"" | ""consultation"" --(BEFORE)--> ""examen"""
23,73,FR100132,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""amas"" --(CONTAINS)--> ""histologie"" | ""histologie"" --(BEFORE)--> ""examen"""
23,73,FR100132,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""baisse"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""écho-Doppler"""
23,73,FR100142,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""taux"" --(CONTAINS)--> ""fibroscopie"" | ""fibroscopie"" --(BEFORE)--> ""biopsie"""
23,73,FR100142,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""taux"" --(CONTAINS)--> ""électrophorèse"" | ""électrophorèse"" --(BEFORE)--> ""scanner"""
23,73,FR100142,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""adénopathies"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""électrophorèse"""
23,73,FR100142,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""éléments"" --(CONTAINS)--> ""biopsie"" | ""biopsie"" --(BEFORE)--> ""étude"""
23,73,FR100142,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""anémie"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""électrophorèse"""
23,73,FR100142,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""altération"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""électrophorèse"""
23,73,FR100142,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""lésions"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""électrophorèse"""
23,73,FR100142,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""marqueurs"" --(CONTAINS)--> ""électrophorèse"" | ""électrophorèse"" --(BEFORE)--> ""scanner"""
23,73,FR100142,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""prolifération"" --(CONTAINS)--> ""biopsie"" | ""biopsie"" --(BEFORE)--> ""étude"""
23,73,FR100142,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""marquage"" --(CONTAINS)--> ""étude"" | ""étude"" --(BEFORE)--> ""sérologie"""
23,73,FR100142,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""hypergammaglobulinémie"" --(CONTAINS)--> ""électrophorèse"" | ""électrophorèse"" --(BEFORE)--> ""scanner"""
23,73,FR100142,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""tuberculose"" --(CONTAINS)--> ""biopsie"" | ""biopsie"" --(BEFORE)--> ""mis"""
23,73,FR100161,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""sérologie"" --(CONTAINS)--> ""examens"" | ""examens"" --(BEFORE)--> ""radiographie"""
23,73,FR100161,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""cytolyse"" --(CONTAINS)--> ""examens"" | ""examens"" --(BEFORE)--> ""radiographie"""
23,73,FR100168,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""taux"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""dissection"""
23,73,FR100168,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""plaquettes"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""dissection"""
23,73,FR100168,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""temps"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""dissection"""
23,73,FR100168,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""taux"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""tests"""
23,73,FR100168,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""suites"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""tests"""
23,73,FR100168,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""plaquettes"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""tests"""
23,73,FR100168,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""fibrinogène"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""tests"""
23,73,FR100168,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""hémoglobine"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""tests"""
23,73,FR100168,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""hémoglobine"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""dissection"""
23,73,FR100185,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""abolition"" --(CONTAINS)--> ""Electromyogramme"" | ""Electromyogramme"" --(BEFORE)--> ""IRM"""
23,73,FR100185,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""accuse"" --(CONTAINS)--> ""Electromyogramme"" | ""Electromyogramme"" --(BEFORE)--> ""IRM"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""fréquence"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""examen"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""SpO2"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""examen"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""score"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""examen"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""pression"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""examen"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""diminution"" --(CONTAINS)--> ""contrôle"" | ""contrôle"" --(BEFORE)--> ""quitté"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""emphysème"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""examen"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""grossesse"" --(CONTAINS)--> ""admise"" | ""admise"" --(BEFORE)--> ""examen"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""bruits"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""échographie"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""primipare"" --(CONTAINS)--> ""admise"" | ""admise"" --(BEFORE)--> ""examen"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""crise"" --(CONTAINS)--> ""admise"" | ""admise"" --(BEFORE)--> ""examen"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""diminution"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""examen"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""emphysème"" --(CONTAINS)--> ""radio"" | ""radio"" --(BEFORE)--> ""TDM"""
23,73,FR100255,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""analgésie"" --(CONTAINS)--> ""expulsé"" | ""expulsé"" --(BEFORE)--> ""contrôle"""
23,73,FR100275,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""voisin"" --(CONTAINS)--> ""arrivée"" | ""arrivée"" --(BEFORE)--> ""établi"""
23,73,FR100275,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""matières"" --(CONTAINS)--> ""arrivée"" | ""arrivée"" --(BEFORE)--> ""établi"""
23,73,FR100275,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""bêtabloquant"" --(CONTAINS)--> ""anamnèse"" | ""anamnèse"" --(BEFORE)--> ""examen"""
23,73,FR100275,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""porteur"" --(CONTAINS)--> ""anamnèse"" | ""anamnèse"" --(BEFORE)--> ""examen"""
23,73,FR100275,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""mort"" --(CONTAINS)--> ""établi"" | ""établi"" --(BEFORE)--> ""manœuvres"""
23,73,FR100275,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""ouverts"" --(CONTAINS)--> ""arrivée"" | ""arrivée"" --(BEFORE)--> ""établi"""
23,73,FR100275,[EVENT_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_N/A_ACTUAL_POS] | [EVENT_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_N/A_ACTUAL_POS],"""mort"" --(CONTAINS)--> ""posé"" | ""posé"" --(BEFORE)--> ""pris"""
