"Document","ID_chaine","Cluster","Enchaînement_nature","Annotation_corpus","Mots_contexte"
"FR100168","c54","Classe 2","(SNind,1)-(SN∅,1)","EVENT -> EVENT","transfusion, transfusion"
"FR100168","c85","Classe 1","(SNind,1)-(SNdem,1)","EVENT -> EVENT","habitude, habitude"
"FR100168","c94","Classe 1","(SNdem,1)-(Pro,1)","EVENT -> Non annoté","phytothérapie, qui"
"FR100185","c4","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","tumeur, laquelle"
"FR100185","c1","Classe 3","(Pro,1)-(SNind,1)-(Pro,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","elle, une femme de 50 ans, elle"
"FR100185","c14","Classe 3","(SNdef,3)","BODYPART -> BODYPART -> BODYPART","du membre supérieur gauche, du membre supérieur gauche, du membre supérieur gauche"
"FR100185","c31","Classe 3","(SNdef,2)","BODYPART -> BODYPART","du plexus brachial, du plexus brachial"
"FR100185","c30","Classe 2","(SNdef,1)-(SN∅,1)","EVENT -> EVENT","IRM, IRM"
"FR100227","c3","Classe 1","(SNind,1)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT)","le patient, le patient"
"FR100227","c11","Classe 1","(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","diplopie, diplopie"
"FR100227","c14","Classe 3","(SNdef,2)","EVENT -> EVENT","Lancaster, Lancaster"
"FR100227","c15","Classe 3","(SNdef,2)","EVENT -> EVENT","bilan, bilan"
"FR100227","c16","Classe 3","(SNdef,2)","EVENT -> EVENT","IRM, IRM"
"FR100255","c1","Classe 3","(Np,1)-(SNdef,1)-(Poss,1)-(SNdef,2)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Madame K, La patiente, son, La patiente, La patiente"
"FR100255","c5","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","crise, crise"
"FR100255","c7","Classe 2","(SNnum,2)","TIMEX3 -> TIMEX3","36 semaines d'aménorrhées, 36 semaines d'aménorrhées"
"FR100255","c6","Classe 1","(SNind,2)","EVENT -> EVENT","grossesse, grossesse"
"FR100255","c8","Classe 2","(SN∅,2)","TIMEX3 -> TIMEX3","36 semaines d'aménorrhées, 36 semaines d'aménorrhées"
"FR100255","c10","Classe 1","(SNdef,1)-(SNposs,1)","EVENT -> EVENT","admission, admission"
"FR100255","c13","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> CLINENTITY","pression, hypertension artérielle"
"FR100255","c22","Classe 1","(SNind,2)-(SNdef,1)","EVENT -> EVENT -> EVENT","emphysème, emphysème, emphysème"
"FR100255","c54","Classe 1","(SNind,2)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY","pneumomédiastin, pneumomédiastin, pneumomédiastin"
"FR100275","c1","Classe 4","(SNind,1)-(Poss,1)-(SNdef,1)-(Poss,1)-(SNdef,1)-(Pro,1)-(SNdef,2)-(Pro,1)-(SNdef,1)-(Poss,2)-(SNdef,3)-(Pro,1)-(SNdef,2)","ACTOR (PATIENT) -> ACTOR (OTHER) -> ACTOR (PATIENT) -> ACTOR (OTHER) -> ACTOR (PATIENT) -> ACTOR (OTHER) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (OTHER) -> ACTOR (PATIENT) -> Non annoté -> Non annoté -> ACTOR (OTHER) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (OTHER) -> ACTOR (OTHER) -> ACTOR (OTHER)","Une fillette de 2 ans, sa famille, L'enfant, sa famille, L'enfant, Elle, L'enfant, L'enfant, Elle, L'enfant, son, son, La sœur du nourrisson, L'enfant, L'enfant, Elle, La sœur du nourrisson, La sœur du nourrisson"
"FR100275","c3","Classe 1","(SNposs,2)-(SNdef,1)","ACTOR (OTHER) -> ACTOR (OTHER) -> ACTOR (OTHER)","la famille, la famille, la famille"
"FR100275","c8","Classe 3","(SNdef,2)","EVENT -> EVENT","manœuvres, manœuvres"
"FR100275","c11","Classe 3","(SNdef,1)-(Pro,1)","ACTOR (OTHER) -> Non annoté","du réanimateur, qui"
"FR100275","c36","Classe 2","(SNdef,1)-(SN∅,1)","CLINENTITY -> CLINENTITY","syndrome du QT Long, syndrome du QT Long"
"FR100275","c37","Classe 1","(SN∅,1)-(SNposs,1)","EVENT -> Non annoté","bêtabloquant, son traitement"
"FR100275","c38","Classe 2","(Np,2)","EVENT -> EVENT","Nadolol, Nadolol"
"FR100275","c60","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","hospitalisation, hospitalisation"
"FR100275","c66","Classe 2","(SN∅,3)","EVENT -> EVENT -> EVENT","foyer, foyer, foyer"
"FR100275","c70","Classe 3","(SNdef,2)","EVENT -> EVENT","électroencéphalogramme, électroencéphalogramme"
"FR100275","c75","Classe 2","(SN∅,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","récidive, récidive"
"FR100275","c86","Classe 1","(SNind,2)","EVENT -> EVENT","défibrillateur, défibrillateur"
"FR100275","c96","Classe 2","(SN∅,4)","EVENT -> EVENT -> EVENT -> EVENT","bêtabloquant, bêtabloquant, bêtabloquant, bêtabloquant"
"FR100275","c101","Classe 3","(SNdef,2)","CLINENTITY -> CLINENTITY","mutation au niveau du gène HERG, mutation au niveau du gène HERG"
"FR100275","c102","Classe 3","(SNdef,2)","CLINENTITY -> CLINENTITY","mutation au niveau du gène HERG, mutation au niveau du gène HERG"
"FR100275","c99","Classe 1","(SNind,1)-(SNdef,2)","EVENT -> CLINENTITY -> EVENT","mutation, mutations, mutation"
"FR100275","c98","Classe 1","(SNind,1)-(Pro,1)-(SNdef,1)","ACTOR (OTHER) -> ACTOR (OTHER) -> ACTOR (OTHER)","la mère, Elle, la mère"
"FR100275","c104","Classe 3","(SNdef,1)-(Pro,2)","ACTOR (OTHER) -> ACTOR (OTHER) -> ACTOR (OTHER)","La sœur du nourrisson, Elle, Elle"
"FR100275","c106","Classe 3","(SNdef,1)-(Pro,3)","ACTOR (OTHER) -> ACTOR (OTHER) -> ACTOR (OTHER) -> ACTOR (OTHER)","La tante maternelle du nourrisson, Elle, Elle, Elle"
"FR100276","c1","Classe 3","(Np,1)-(Pro,1)-(SNdef,2)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Mme N.R de 34 ans, elle, la patiente, la patiente"
"FR100276","c3","Classe 1","(SNind,1)-(Pro,1)-(SNdef,1)","EVENT -> Non annoté -> EVENT","grossesse, laquelle, grossesse"
"FR100276","c4","Classe 1","(SNind,1)-(Pro,1)-(SNdem,1)-(SNdef,3)","EVENT -> Non annoté -> EVENT -> EVENT -> EVENT -> EVENT","éruption, qui, lésions, lésions, lésions, lésions"
"FR100276","c14","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","pemphigoïde, pemphigoïde"
"FR100276","c16","Classe 2","(SN∅,1)-(Pro,1)","EVENT -> Non annoté","examen, qui"
"FR100276","c20","Classe 2","(SNdef,1)-(SNdem,1)","EVENT -> EVENT","dépôts, signe"
"FR100276","c26","Classe 3","(SN∅,1)-(SNdef,2)-(SN∅,1)","Non annoté -> EVENT -> EVENT -> EVENT","corticoïdes locaux, traitement, traitement, traitement"
"FR100276","c27","Classe 3","(SNdef,2)","EVENT -> EVENT","régression, régression"
"FR100276","c36","Classe 3","(SNdef,2)","EVENT -> EVENT","accouchement, accouchement"
"FR100276","c39","Classe 1","(SNind,1)-(Pro,1)","ACTOR (OTHER) -> Non annoté","un nouveau né de sexe féminin, qui"
"FR100282","c1","Classe 3","(SN∅,1)-(SNdef,1)-(Pro,1)-(Poss,1)-(Pro,1)-(Poss,3)-(Pro,1)-(Poss,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> Non annoté -> ACTOR (OTHER) -> Non annoté -> ACTOR (PATIENT) -> Non annoté","Patient K.M, Patient K.M, lui, son, il, Ses, sa famille, Ses, il, Ses"
"FR100282","c3","Classe 3","(SNdef,1)-(Pro,1)-(SNposs,1)-(SNdef,1)-(Pro,1)-(Sujet_zero,1)","EVENT -> Non annoté -> EVENT -> EVENT -> Non annoté -> Non annoté","crises, qui, crises, crises, Elles, ont"
"FR100282","c14","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","traitement, monothérapie"
"FR100282","c20","Classe 2","(SNind,1)-(SN∅,1)","EVENT -> Non annoté","multithérapie, carbamazépine , phénobarbital et valproate de sodium"
"FR100282","c30","Classe 1","(SNind,2)","EVENT -> EVENT","crise, crise"
"FR100282","c36","Classe 3","(Pro,3)","ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL)","Nous, Nous, Nous"
"FR100282","c49","Classe 1","(Poss,1)-(SNind,1)","ACTOR (OTHER) -> EVENT","sa famille, tracé"
"FR100283","c1","Classe 1","(SNind,1)-(Pro,1)","ACTOR (PATIENT) -> Non annoté","Un homme âgé de 49 ans, qui"
"FR100296","c5","Classe 2","(SNdef,1)-(SN∅,2)","Non annoté -> EVENT -> EVENT -> EVENT","les multiples médications, paracétamol, AINS, AINS"
"FR100296","c4","Classe 1","(SNind,2)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> CLINENTITY","sciatique, sciatique, sciatalgie"
"FR100296","c1","Classe 3","(SNind,1)-(SNdef,4)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Le patient, Le patient, Le patient, Le patient, Le patient"
"FR100296","c17","Classe 3","(SNdef,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","lombalgie, lombalgie"
"FR100296","c18","Classe 3","(SNdef,2)","EVENT -> EVENT","examen, examen"
"FR100296","c25","Classe 2","(SN∅,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","allodynie, allodynie"
"FR100296","c22","Classe 3","(SNdef,2)","EVENT -> EVENT","phénomènes, phénomènes"
"FR100296","c29","Classe 1","(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","douleur, douleur"
"FR100296","c49","Classe 1","(SNdef,1)-(SNind,1)","EVENT -> EVENT","émergence, émergence"
"FR100296","c57","Classe 2","(SNdef,1)-(SNdem,1)","BODYPART -> BODYPART","Ces racines conjointes, Ces racines conjointes"
"FR100296","c58","Classe 3","(SNdef,2)","BODYPART -> BODYPART","Le récessus latéral, Le récessus latéral"
"FR100296","c59","Classe 3","(SNdef,1)-(Sujet_zero,1)","BODYPART -> Non annoté","La racine médiale, était"
"FR100314","c1","Classe 3","(SN∅,1)-(Poss,1)-(SNdef,2)","ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT)","La patiente, son, le patient, La patiente"
"FR100314","c6","Classe 2","(SNind,1)-(SN∅,1)","EVENT -> EVENT","accident, collision"
"FR100314","c22","Classe 2","(SN∅,1)-(SNdef,1)","BODYPART -> BODYPART","du membre supérieure, du membre supérieure"
"FR100344","c1","Classe 3","(Np,1)-(SNdef,4)-(Pro,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","madame H.E. âgée de 22 ans, la gestante, la gestante, La mère, La mère, Elle"
"FR100344","c13","Classe 2","(SN∅,2)","TIMEX3 -> TIMEX3","11semaines d'aménorrhée (SA) + 6 jours (jr), 11semaines d'aménorrhée (SA) + 6 jours (jr)"
"FR100344","c16","Classe 1","(SNind,1)-(SNdef,2)","EVENT -> EVENT -> EVENT","grossesse, grossesse, grossesse"
"FR100344","c20","Classe 2","(SN∅,1)-(Autre,1)-(SN∅,1)","TIMEX3 -> TIMEX3 -> TIMEX3","11semaines d'aménorrhée (SA) + 6 jours (jr), 11SA + 1jr, 11semaines d'aménorrhée (SA) + 6 jours (jr)"
"FR100344","c21","Classe 2","(SNnum,1)-(SN∅,1)","TIMEX3 -> TIMEX3","10 jours, 11semaines d'aménorrhée (SA) + 6 jours (jr)"
"FR100344","c23","Classe 1","(Autre,1)-(SNnum,1)","ACTOR (OTHER) -> ACTOR (OTHER)","deuxième jumeau (J2), 2 e jumeau"
"FR100344","c25","Classe 2","(SN∅,1)-(SNnum,1)","ACTOR (OTHER) -> ACTOR (OTHER)","2 e jumeau, 3 e jumeau"
"FR100344","c32","Classe 2","(SNdef,1)-(SNnum,1)-(SNdef,1)","ACTOR (OTHER) -> ACTOR (OTHER) -> ACTOR (OTHER)","les fœtus, 3 jumeaux, Les quatre nouveau-nés"
"FR100344","c34","Classe 2","(SNnum,1)-(Pro,1)","TIMEX3 -> Non annoté","11semaines d'aménorrhée (SA) + 6 jours (jr), où"
"FR100344","c48","Classe 2","(SNnum,1)-(SNdef,1)-(SNnum,1)","ACTOR (OTHER) -> ACTOR (OTHER) -> ACTOR (OTHER)","4 jumeaux vivants (1 fille et 3 garçons), 1 ère jumelle, La première jumelle vivante polymalformée à développement abdominal et de découverte per opératoire"
"FR100344","c49","Classe 2","(SNnum,1)-(SNdef,1)","ACTOR (OTHER) -> ACTOR (OTHER)","4 jumeaux vivants (1 fille et 3 garçons), 3 jumeaux"
"FR100344","c55","Classe 3","(SNdef,2)","BODYPART -> BODYPART","Le placenta de la grossesse abdominale, Le placenta de la grossesse abdominale"
"FR100346","c5","Classe 1","(SNind,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","SEP, SEP"
"FR100346","c1","Classe 2","(Np,1)-(Pro,1)","ACTOR (PATIENT) -> ACTOR (PATIENT)","Mlle B Z âgée de 39 ans, elle"
"FR100346","c10","Classe 2","(SN∅,1)-(SNind,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","fièvre, fièvre"
"FR100346","c37","Classe 2","(SNind,1)-(Np,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY","EP, EP, EP"
"FR100346","c54","Classe 2","(SNind,1)-(SN∅,1)","EVENT -> EVENT","angiomyolipome, angiomyolipome"
"FR100346","c57","Classe 1","(Poss,1)-(SNind,1)","Non annoté -> EVENT/CLINENTITY","sa, LAM"
"FR100360","c6","Classe 3","(SNdef,2)","CLINENTITY -> CLINENTITY","adénocarcinome de l'endomètre, adénocarcinome de l'endomètre"
"FR100360","c5","Classe 1","(SNind,2)","EVENT -> EVENT","adénocarcinome, adénocarcinome"
"FR100360","c1","Classe 4","(SNind,1)-(SNdef,6)-(Poss,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté","La patiente, La patiente, La patiente, La patiente, La patiente, La patiente, La patiente, sa"
"FR100360","c13","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","curage, curage"
"FR100360","c23","Classe 1","(SNind,1)-(SNdef,2)","EVENT -> EVENT -> EVENT","radiothérapie, traitement, traitement"
"FR100360","c31","Classe 3","(SNdef,2)","EVENT -> EVENT","fin, fin"
"FR100360","c46","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","biopsie, dont"
"FR100360","c48","Classe 1","(SNind,1)-(SNposs,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","métastase, métastase"
"FR100361","c1","Classe 3","(Np,1)-(Pro,1)-(Poss,1)-(Pro,1)-(SNdef,5)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Mme R.C âgée de 48 ans, Elle, son, Elle, La patiente, La patiente, La patiente, La patiente, La patiente"
"FR100361","c16","Classe 2","(SN∅,1)-(SNind,1)","EVENT -> EVENT","insuffisance, insuffisance"
"FR100361","c24","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","syndrome, syndrome"
"FR100361","c27","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","TDM, TDM"
"FR100361","c35","Classe 1","(SNind,1)-(Poss,1)","BODYPART -> Non annoté","un liquide céphalorachidien (LCR) trouble, son"
"FR100361","c37","Classe 2","(SNind,1)-(SN∅,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","méningite, méningite"
"FR100361","c50","Classe 2","(SNdef,1)-(SN∅,1)","EVENT -> EVENT","protéine, CRP"
"FR100361","c70","Classe 3","(SNdef,2)","EVENT -> EVENT","IRM, IRM"
