doc,entité,type_temporalite,coref,mention_id,longueur_chaine,chaine_complete
FR100003,infectieux,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,instaurée,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,justifie,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,l''espace retropharyngolaryngé,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,la 45 (3éme molaire),BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,la cavité buccale,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,la dent causale,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,la face latéral du cou,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,la racine dentaire,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,mixte,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,montre,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,normal,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,nécessaire,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,objective,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,prévenir,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,ramené,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,rapportons,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,retrouve,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,réajustée,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,révèle,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,streptococcus anginosus,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,trouve,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,un homme de 55 ans enseignant de fonction,ACTOR,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,un patient,ACTOR,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,épanchement pleural,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,Nous,ACTOR,Détecté,c1,1,Nous
FR100003,palpation,Non annoté,Détecté,c10,1,palpation
FR100003,contexte,EVENT,Détecté,c11,1,contexte
FR100003,altération,EVENT,Détecté,c12,1,altération
FR100003,état,EVENT,Détecté,c13,1,état
FR100003,Lexamen,EVENT,Détecté,c14,1,Lexamen
FR100003,admission,Non annoté,Détecté,c15,1,admission
FR100003,érythème,EVENT,Détecté,c16,1,érythème
FR100003,érythème,CLINENTITY,Détecté,c16,1,érythème
FR100003,face,Non annoté,Détecté,c17,1,face
FR100003,cou,Non annoté,Détecté,c18,1,cou
FR100003,fréquence,EVENT,Détecté,c19,1,fréquence
FR100003,observation,EVENT,Détecté,c2,1,observation
FR100003,PA,EVENT,Détecté,c20,1,PA
FR100003,état,EVENT,Détecté,c21,1,état
FR100003,fréquence,EVENT,Détecté,c22,1,fréquence
FR100003,SaO2,EVENT,Détecté,c23,1,SaO2
FR100003,air,Non annoté,Détecté,c24,1,air
FR100003,fièvre,CLINENTITY,Détecté,c25,1,fièvre
FR100003,fièvre,EVENT,Détecté,c25,1,fièvre
FR100003,°,Non annoté,Détecté,c26,1,°
FR100003,bilan,EVENT,Détecté,c27,1,bilan
FR100003,hyperleucocytose,EVENT,Détecté,c28,1,hyperleucocytose
FR100003,hyperleucocytose,CLINENTITY,Détecté,c28,1,hyperleucocytose
FR100003,CRP,EVENT,Détecté,c29,1,CRP
FR100003,homme,Non annoté,Détecté,c3,3,"homme, qui, patient"
FR100003,patient,Non annoté,Détecté,c3,3,"homme, qui, patient"
FR100003,qui,Non annoté,Détecté,c3,3,"homme, qui, patient"
FR100003,glycémie,EVENT,Détecté,c30,1,glycémie
FR100003,mmol/l,Non annoté,Détecté,c31,1,mmol/l
FR100003,TDM,EVENT,Détecté,c32,1,TDM
FR100003,collection,Non annoté,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,phlegmon,EVENT,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,phlegmon,CLINENTITY,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,cellulite,EVENT,Détecté,c34,3,"cellulite, cellulite, cellulite"
FR100003,cellulite,CLINENTITY,Détecté,c34,3,"cellulite, cellulite, cellulite"
FR100003,espaces,Non annoté,Détecté,c35,1,espaces
FR100003,espace,Non annoté,Détecté,c36,1,espace
FR100003,médiastin,BODYPART,Détecté,c37,2,"médiastin, médiastin"
FR100003,médiastinite,EVENT,Détecté,c38,1,médiastinite
FR100003,médiastinite,CLINENTITY,Détecté,c38,1,médiastinite
FR100003,épanchement,EVENT,Détecté,c39,1,épanchement
FR100003,antécédents,EVENT,Détecté,c4,1,antécédents
FR100003,panoramique,EVENT,Détecté,c40,1,panoramique
FR100003,délabrement,EVENT,Détecté,c41,1,délabrement
FR100003,45,Non annoté,Détecté,c42,2,"45, molaire"
FR100003,molaire,Non annoté,Détecté,c42,2,"45, molaire"
FR100003,granulome,EVENT,Détecté,c43,1,granulome
FR100003,racine,Non annoté,Détecté,c44,1,racine
FR100003,ponction,EVENT,Détecté,c45,1,ponction
FR100003,anesthésie,Non annoté,Détecté,c46,1,anesthésie
FR100003,injection,EVENT,Détecté,c47,1,injection
FR100003,ml,Non annoté,Détecté,c48,2,"volume, ml"
FR100003,volume,Non annoté,Détecté,c48,2,"volume, ml"
FR100003,pus,EVENT,Détecté,c49,1,pus
FR100003,diabète,EVENT,Détecté,c5,1,diabète
FR100003,examen,EVENT,Détecté,c50,1,examen
FR100003,leucocytes,EVENT,Détecté,c51,1,leucocytes
FR100003,bactéries,EVENT,Détecté,c52,1,bactéries
FR100003,examen,EVENT,Détecté,c53,1,examen
FR100003,Flore,Non annoté,Détecté,c54,1,Flore
FR100003,anaérobies,EVENT,Détecté,c55,1,anaérobies
FR100003,antibiothérapie,EVENT,Détecté,c56,2,"antibiothérapie, antibiothérapie"
FR100003,voie,Non annoté,Détecté,c57,1,voie
FR100003,bloc,EVENT,Détecté,c58,2,"bloc, bloc"
FR100003,amoxicilline+,Non annoté,Détecté,c59,1,amoxicilline+
FR100003,mois,Non annoté,Détecté,c6,1,mois
FR100003,acide,Non annoté,Détecté,c60,1,acide
FR100003,augmentin,Non annoté,Détecté,c61,1,augmentin
FR100003,5-nitro-imidazolés,Non annoté,Détecté,c62,1,5-nitro-imidazolés
FR100003,flagyl,Non annoté,Détecté,c63,1,flagyl
FR100003,anesthésie,Non annoté,Détecté,c64,1,anesthésie
FR100003,foyer,EVENT,Détecté,c65,1,foyer
FR100003,incision,EVENT,Détecté,c66,1,incision
FR100003,lames,Non annoté,Détecté,c67,1,lames
FR100003,cervicotomie,Non annoté,Détecté,c68,1,cervicotomie
FR100003,thoracotomie,EVENT,Détecté,c69,1,thoracotomie
FR100003,soins,EVENT,Détecté,c7,1,soins
FR100003,collections,EVENT,Détecté,c70,1,collections
FR100003,niveau,Non annoté,Détecté,c71,1,niveau
FR100003,stade,Non annoté,Détecté,c72,1,stade
FR100003,prise,EVENT,Détecté,c73,1,prise
FR100003,drainage,EVENT,Détecté,c74,1,drainage
FR100003,extraction,EVENT,Détecté,c75,1,extraction
FR100003,dent,Non annoté,Détecté,c76,1,dent
FR100003,traitement,EVENT,Détecté,c77,1,traitement
FR100003,cavité,Non annoté,Détecté,c78,1,cavité
FR100003,épisode,EVENT,Détecté,c79,1,épisode
FR100003,urgences,Non annoté,Détecté,c8,1,urgences
FR100003,culture,EVENT,Détecté,c80,1,culture
FR100003,streptococcus,EVENT,Détecté,c81,1,streptococcus
FR100003,résultats,EVENT,Détecté,c82,1,résultats
FR100003,hémoculture,Non annoté,Détecté,c83,1,hémoculture
FR100003,masse,EVENT,Détecté,c9,1,masse
FR100003,masse,CLINENTITY,Détecté,c9,1,masse
FR100078,"1,2",RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,Le patient,ACTOR,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,M.J Patient Tunisien âgé de 42 ans,ACTOR,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,aphtes génitaux,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,aphtose buccale,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,colonisation bactérienne,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,des berges de l'ulcération,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,des deux jambes,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,des jambes,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,des membres inférieurs,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,du derme profond,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,du membre inférieur gauche,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,fréquentes,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,infiltration inflammatoire lymphocytaire,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,insuffisance veineuse,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,montrait,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,montré,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,porteur,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,porté,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,positif,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,poussée cutanéo-muqueuse,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,présence de pus,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,présents,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,pseudomonas aéroginosa,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,thrombophlébites superficielles,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,thrombose profonde,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,trouvait,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,ulcères des deux jambes,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,vascularite dermique leucocytoclasique,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,élevée,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,éliminant,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,Il,ACTOR,Détecté,c1,4,"M.J, patient, Il, patient"
FR100078,M.J,Non annoté,Détecté,c1,4,"M.J, patient, Il, patient"
FR100078,patient,Non annoté,Détecté,c1,4,"M.J, patient, Il, patient"
FR100078,membre,Non annoté,Détecté,c10,1,membre
FR100078,Pathergy,EVENT,Détecté,c11,1,Pathergy
FR100078,cours,Non annoté,Détecté,c12,1,cours
FR100078,colchicine,EVENT,Détecté,c13,2,"colchicine, colchicine"
FR100078,aspirine,EVENT,Détecté,c14,1,aspirine
FR100078,prednisone,EVENT,Détecté,c15,1,prednisone
FR100078,dose,Non annoté,Détecté,c16,1,dose
FR100078,mg/j,Non annoté,Détecté,c17,1,mg/j
FR100078,ulcère,CLINENTITY,Détecté,c18,6,"ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
FR100078,ulcères,EVENT,Détecté,c18,6,"ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
FR100078,ulcération,CLINENTITY,Détecté,c18,6,"ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
FR100078,ulcérations,CLINENTITY,Détecté,c18,6,"ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
FR100078,jambes,Non annoté,Détecté,c19,2,"jambes, jambes"
FR100078,MB,Non annoté,Détecté,c2,2,"MB, maladie"
FR100078,maladie,CLINENTITY,Détecté,c2,2,"MB, maladie"
FR100078,hospitalisation,EVENT,Détecté,c20,2,"hospitalisation, hospitalisations"
FR100078,hospitalisations,Non annoté,Détecté,c20,2,"hospitalisation, hospitalisations"
FR100078,reprises,Non annoté,Détecté,c21,1,reprises
FR100078,fois,Non annoté,Détecté,c22,1,fois
FR100078,récidives,EVENT,Détecté,c23,2,"récidives, récidives"
FR100078,récidives,CLINENTITY,Détecté,c23,2,"récidives, récidives"
FR100078,poussée,EVENT,Détecté,c24,1,poussée
FR100078,notion,Non annoté,Détecté,c25,1,notion
FR100078,arrêt,EVENT,Détecté,c26,1,arrêt
FR100078,traitement,EVENT,Détecté,c27,1,traitement
FR100078,examen,EVENT,Détecté,c28,1,examen
FR100078,moment,Non annoté,Détecté,c29,1,moment
FR100078,âge,Non annoté,Détecté,c3,1,âge
FR100078,signes,EVENT,Détecté,c30,1,signes
FR100078,thrombophlébites,EVENT,Détecté,c31,1,thrombophlébites
FR100078,niveau,Non annoté,Détecté,c32,1,niveau
FR100078,pouls,EVENT,Détecté,c33,1,pouls
FR100078,doppler,EVENT,Détecté,c34,1,doppler
FR100078,membres,Non annoté,Détecté,c35,1,membres
FR100078,signes,EVENT,Détecté,c36,1,signes
FR100078,insuffisance,EVENT,Détecté,c37,1,insuffisance
FR100078,thrombose,EVENT,Détecté,c38,1,thrombose
FR100078,doppler,EVENT,Détecté,c39,1,doppler
FR100078,diagnostic,EVENT,Détecté,c4,1,diagnostic
FR100078,signes,EVENT,Détecté,c40,1,signes
FR100078,artériopathie,CLINENTITY,Détecté,c41,1,artériopathie
FR100078,artériopathie,EVENT,Détecté,c41,1,artériopathie
FR100078,indice,EVENT,Détecté,c42,1,indice
FR100078,pression,Non annoté,Détecté,c43,1,pression
FR100078,biopsie,EVENT,Détecté,c44,1,biopsie
FR100078,niveau,Non annoté,Détecté,c45,1,niveau
FR100078,berges,Non annoté,Détecté,c46,1,berges
FR100078,signes,EVENT,Détecté,c47,1,signes
FR100078,vascularite,EVENT,Détecté,c48,1,vascularite
FR100078,micro-thromboses,CLINENTITY,Détecté,c49,1,micro-thromboses
FR100078,micro-thromboses,EVENT,Détecté,c49,1,micro-thromboses
FR100078,association,Non annoté,Détecté,c5,1,association
FR100078,infiltration,EVENT,Détecté,c50,1,infiltration
FR100078,derme,Non annoté,Détecté,c51,1,derme
FR100078,épisodes,Non annoté,Détecté,c52,1,épisodes
FR100078,infections,Non annoté,Détecté,c53,2,"surinfection, infections"
FR100078,surinfection,EVENT,Détecté,c53,2,"surinfection, infections"
FR100078,surinfection,CLINENTITY,Détecté,c53,2,"surinfection, infections"
FR100078,recours,Non annoté,Détecté,c54,1,recours
FR100078,antibiotiques,EVENT,Détecté,c55,1,antibiotiques
FR100078,dernière,EVENT,Détecté,c56,1,dernière
FR100078,pseudomonas,EVENT,Détecté,c57,1,pseudomonas
FR100078,diagnostic,EVENT,Détecté,c58,1,diagnostic
FR100078,ensemble,Non annoté,Détecté,c59,1,ensemble
FR100078,aphtose,EVENT,Détecté,c6,1,aphtose
FR100078,fièvre,EVENT,Détecté,c60,1,fièvre
FR100078,fièvre,CLINENTITY,Détecté,c60,1,fièvre
FR100078,présence,Non annoté,Détecté,c61,1,présence
FR100078,pus,EVENT,Détecté,c62,1,pus
FR100078,examen,EVENT,Détecté,c63,1,examen
FR100078,hyperleucocytose,EVENT,Détecté,c64,1,hyperleucocytose
FR100078,hyperleucocytose,CLINENTITY,Détecté,c64,1,hyperleucocytose
FR100078,C-réactive,EVENT,Détecté,c65,1,C-réactive
FR100078,colonisation,EVENT,Détecté,c66,1,colonisation
FR100078,traitements,EVENT,Détecté,c67,1,traitements
FR100078,antibiothérapie,EVENT,Détecté,c68,1,antibiothérapie
FR100078,reprise,EVENT,Détecté,c69,1,reprise
FR100078,aphtes,EVENT,Détecté,c7,1,aphtes
FR100078,colchicine,EVENT,Détecté,c70,1,colchicine
FR100078,glucocorticoïdes,EVENT,Détecté,c71,1,glucocorticoïdes
FR100078,évolution,EVENT,Détecté,c72,1,évolution
FR100078,cicatrisation,EVENT,Détecté,c73,1,cicatrisation
FR100078,observance,EVENT,Détecté,c74,1,observance
FR100078,pseudofolliculites,EVENT,Détecté,c8,1,pseudofolliculites
FR100078,pseudofolliculites,CLINENTITY,Détecté,c8,1,pseudofolliculites
FR100078,thrombophlébite,EVENT,Détecté,c9,1,thrombophlébite
FR100078,thrombophlébite,CLINENTITY,Détecté,c9,1,thrombophlébite
FR100092,1 an et demi,TIMEX3,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,1 semaine,TIMEX3,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,10/6,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,"11,4 g/dl",RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,2 mois,TIMEX3,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,3 ème jour,TIMEX3,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,42/42mm,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,700cc,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,7530/mm 3,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,80 battements par minute,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,89/60mm,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,La patiente,ACTOR,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,Mme HK,ACTOR,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,admise,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,apparue,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,appendicite aigue,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,apyrétique,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,apyrétique,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,au fond,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,cri de douglas,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,des globules blancs,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,empâtement latéroutérin droit sensible,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,enflé,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,grossesse extra utérine,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,grossesse extrautérine,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,grossesse tubaire,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,kystique,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,l'endocol,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,l'ovaire gauche,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,l'utérus,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,la fosse iliaque droite,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,la patiente,ACTOR,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,mariée,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,normal,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,noté,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,nullipare,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,objective,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,perforée,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,positif à 1437 UI/l.,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,post opératoires,TIMEX3,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,réaction péritonéale locale,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,révèle,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,sensibilité pelvienne,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,sortante,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,trompe droite boudinée,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,trompe droite boudinée,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,trouve,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,un appendice enflé accolé à la masse latéroutérine,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,un col d'aspect normal,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,un utérus de taille normal,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,une patiente,ACTOR,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,visualisé,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,âgée,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,évoque,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,Mme,Non annoté,Détecté,c1,3,"Mme, patiente, patiente"
FR100092,patiente,Non annoté,Détecté,c1,3,"Mme, patiente, patiente"
FR100092,métrorragies,EVENT,Détecté,c10,1,métrorragies
FR100092,métrorragies,CLINENTITY,Détecté,c10,1,métrorragies
FR100092,aménorrhée,EVENT,Détecté,c11,1,aménorrhée
FR100092,mois,Non annoté,Détecté,c12,1,mois
FR100092,examen,EVENT,Détecté,c13,1,examen
FR100092,admission,Non annoté,Détecté,c14,1,admission
FR100092,patiente,Non annoté,Détecté,c15,1,patiente
FR100092,conjonctives,EVENT,Détecté,c16,1,conjonctives
FR100092,tension,EVENT,Détecté,c17,1,tension
FR100092,fréquence,EVENT,Détecté,c18,1,fréquence
FR100092,battements,Non annoté,Détecté,c19,1,battements
FR100092,ans,Non annoté,Détecté,c2,1,ans
FR100092,minute,Non annoté,Détecté,c20,1,minute
FR100092,examen,EVENT,Détecté,c21,1,examen
FR100092,sensibilité,EVENT,Détecté,c22,1,sensibilité
FR100092,examen,EVENT,Détecté,c23,1,examen
FR100092,col,Non annoté,Détecté,c24,1,col
FR100092,saignement,EVENT,Détecté,c25,1,saignement
FR100092,saignement,CLINENTITY,Détecté,c25,1,saignement
FR100092,endocol,Non annoté,Détecté,c26,1,endocol
FR100092,utérus,Non annoté,Détecté,c27,2,"utérus, utérus"
FR100092,taille,Non annoté,Détecté,c28,1,taille
FR100092,empâtement,EVENT,Détecté,c29,1,empâtement
FR100092,an,Non annoté,Détecté,c3,1,an
FR100092,cri,EVENT,Détecté,c30,1,cri
FR100092,échographie,EVENT,Détecté,c31,1,échographie
FR100092,taille,Non annoté,Détecté,c32,1,taille
FR100092,ligne,EVENT,Détecté,c33,2,"ligne, qui"
FR100092,qui,Non annoté,Détecté,c33,2,"ligne, qui"
FR100092,fond,Non annoté,Détecté,c34,1,fond
FR100092,présence,Non annoté,Détecté,c35,1,présence
FR100092,masse,EVENT,Détecté,c36,2,"masse, masse"
FR100092,masse,CLINENTITY,Détecté,c36,2,"masse, masse"
FR100092,/60mm,Non annoté,Détecté,c37,1,/60mm
FR100092,ovaire,Non annoté,Détecté,c38,1,ovaire
FR100092,image,EVENT,Détecté,c39,1,image
FR100092,formation,Non annoté,Détecté,c4,1,formation
FR100092,épanchement,EVENT,Détecté,c40,1,épanchement
FR100092,épanchement,CLINENTITY,Détecté,c40,1,épanchement
FR100092,taux,EVENT,Détecté,c41,1,taux
FR100092,hormone,EVENT,Détecté,c42,2,"β-HCG, hormone"
FR100092,β-HCG,Non annoté,Détecté,c42,2,"β-HCG, hormone"
FR100092,l,Non annoté,Détecté,c43,1,l
FR100092,tableau,EVENT,Détecté,c44,1,tableau
FR100092,diagnostic,Non annoté,Détecté,c45,1,diagnostic
FR100092,grossesse,EVENT,Détecté,c46,1,grossesse
FR100092,reste,EVENT,Détecté,c47,1,reste
FR100092,bilan,Non annoté,Détecté,c48,1,bilan
FR100092,hémoglobine,EVENT,Détecté,c49,1,hémoglobine
FR100092,notre,Non annoté,Détecté,c5,1,notre
FR100092,g,Non annoté,Détecté,c50,1,g
FR100092,globules,Non annoté,Détecté,c51,1,globules
FR100092,7530,Non annoté,Détecté,c52,1,7530
FR100092,minilaparotomie,EVENT,Détecté,c53,1,minilaparotomie
FR100092,exploration,EVENT,Détecté,c54,2,"exploration, exploration"
FR100092,présence,Non annoté,Détecté,c55,1,présence
FR100092,hémopéritoine,EVENT,Détecté,c56,1,hémopéritoine
FR100092,hémopéritoine,CLINENTITY,Détecté,c56,1,hémopéritoine
FR100092,découverte,EVENT,Détecté,c57,1,découverte
FR100092,grossesse,EVENT,Détecté,c58,1,grossesse
FR100092,trompe,Non annoté,Détecté,c59,1,trompe
FR100092,prise,Non annoté,Détecté,c6,1,prise
FR100092,décision,Non annoté,Détecté,c60,1,décision
FR100092,salpingectomie,EVENT,Détecté,c61,1,salpingectomie
FR100092,reste,EVENT,Détecté,c62,1,reste
FR100092,adhérences,EVENT,Détecté,c63,1,adhérences
FR100092,adhérences,CLINENTITY,Détecté,c63,1,adhérences
FR100092,appendice,Non annoté,Détecté,c64,1,appendice
FR100092,appendicectomie,EVENT,Détecté,c65,1,appendicectomie
FR100092,étude,EVENT,Détecté,c66,1,étude
FR100092,grossesse,EVENT,Détecté,c67,1,grossesse
FR100092,appendicite,EVENT,Détecté,c68,1,appendicite
FR100092,réaction,EVENT,Détecté,c69,1,réaction
FR100092,douleur,EVENT,Détecté,c7,1,douleur
FR100092,douleur,CLINENTITY,Détecté,c7,1,douleur
FR100092,suites,EVENT,Détecté,c70,1,suites
FR100092,particularités,EVENT,Détecté,c71,1,particularités
FR100092,3,Non annoté,Détecté,c72,1,3
FR100092,fosse,Non annoté,Détecté,c8,1,fosse
FR100092,semaine,Non annoté,Détecté,c9,1,semaine
FR100120,10 semaines,TIMEX3,Non détecté,Non applicable,Non applicable,Non applicable
