doc,xml_id,entité,type_temporalite,coref,mention_id,longueur_chaine,chaine_complete
FR100003,6760,cellulite,CLINENTITY,Détecté,c34,3,"cellulite, cellulite, cellulite"
FR100003,6824,cellulite,CLINENTITY,Détecté,c34,3,"cellulite, cellulite, cellulite"
FR100003,6854,des espaces cervicaux antérolatéraux gauches,BODYPART,Détecté,c35,1,espaces
FR100003,6860,l''espace retropharyngolaryngé,BODYPART,Détecté,c36,1,espace
FR100003,6884,du médiastin,BODYPART,Détecté,c37,2,"médiastin, médiastin"
FR100003,6866,médiastin,BODYPART,Détecté,c37,2,"médiastin, médiastin"
FR100003,6021/6768,médiastinite,EVENT/CLINENTITY,Détecté,c38,1,médiastinite
FR100003,6036,épanchement,EVENT,Détecté,c38,1,médiastinite
FR100003,6776,épanchement pleural,CLINENTITY,Détecté,c38,1,médiastinite
FR100003,6036,épanchement,EVENT,Détecté,c39,1,épanchement
FR100003,6776,épanchement pleural,CLINENTITY,Détecté,c39,1,épanchement
FR100003,5646,antécédents,EVENT,Détecté,c4,1,antécédents
FR100003,6051,panoramique,EVENT,Détecté,c40,1,panoramique
FR100003,6081,délabrement,EVENT,Détecté,c41,1,délabrement
FR100003,6872,la 45 (3éme molaire),BODYPART,Détecté,c42,2,"45, molaire"
FR100003,6096,granulome,EVENT,Détecté,c43,1,granulome
FR100003,6784,granulome de la racine dentaire,CLINENTITY,Détecté,c43,1,granulome
FR100003,6878,la racine dentaire,BODYPART,Détecté,c43,1,granulome
FR100003,6784,granulome de la racine dentaire,CLINENTITY,Détecté,c44,1,racine
FR100003,6878,la racine dentaire,BODYPART,Détecté,c44,1,racine
FR100003,6126,injection,EVENT,Détecté,c45,1,ponction
FR100003,6111,ponction,EVENT,Détecté,c45,1,ponction
FR100003,Non applicable,anesthésie locale,Non annoté,Détecté,c46,1,anesthésie
FR100003,6126,injection,EVENT,Détecté,c47,1,injection
FR100003,Non applicable,10 ml,Non annoté,Détecté,c48,2,"volume, ml"
FR100003,Non applicable,un petit volume de sérum physiologique,Non annoté,Détecté,c48,2,"volume, ml"
FR100003,6156,pus,EVENT,Détecté,c49,1,pus
FR100003,6977,deux mois,TIMEX3,Détecté,c5,1,diabète
FR100003,5661,diabète,EVENT,Détecté,c5,1,diabète
FR100003,6696,diabète non-insulinodépendant,CLINENTITY,Détecté,c5,1,diabète
FR100003,5676,soins,EVENT,Détecté,c5,1,diabète
FR100003,6171,examen,EVENT,Détecté,c50,1,examen
FR100003,6231,examen,EVENT,Détecté,c50,1,examen
FR100003,6201,leucocytes,EVENT,Détecté,c51,1,leucocytes
FR100003,6246,abondantes,EVENT,Détecté,c52,1,bactéries
FR100003,6216,bactéries,EVENT,Détecté,c52,1,bactéries
FR100003,6171,examen,EVENT,Détecté,c53,1,examen
FR100003,6231,examen,EVENT,Détecté,c53,1,examen
FR100003,6246,abondantes,EVENT,Détecté,c54,1,Flore
FR100003,6261,mixte,EVENT,Détecté,c54,1,Flore
FR100003,6276,anaérobies,EVENT,Détecté,c55,1,anaérobies
FR100003,6291,antibiothérapie,EVENT,Détecté,c56,2,"antibiothérapie, antibiothérapie"
FR100003,6651,antibiothérapie,EVENT,Détecté,c56,2,"antibiothérapie, antibiothérapie"
FR100003,Non applicable,voie intraveineuse,Non annoté,Détecté,c57,1,voie
FR100003,6336,bloc,EVENT,Détecté,c58,2,"bloc, bloc"
FR100003,6321,bloc,EVENT,Détecté,c58,2,"bloc, bloc"
FR100003,Non applicable,amoxicilline+,Non annoté,Détecté,c59,1,amoxicilline+
FR100003,6977,deux mois,TIMEX3,Détecté,c6,1,mois
FR100003,Non applicable,acide clavulanique,Non annoté,Détecté,c60,1,acide
FR100003,Non applicable,augmentin 2g × 3/j ) associé à 5-nitro-imidazolés ( flagyl 500 mg × 3/j,Non annoté,Détecté,c61,1,augmentin
FR100003,Non applicable,5-nitro-imidazolés,Non annoté,Détecté,c62,1,5-nitro-imidazolés
FR100003,Non applicable,flagyl 500 mg,Non annoté,Détecté,c63,1,flagyl
FR100003,Non applicable,anesthésie générale,Non annoté,Détecté,c64,1,anesthésie
FR100003,6351,foyer,EVENT,Détecté,c65,1,foyer
FR100003,6792,foyer infectieux,CLINENTITY,Détecté,c65,1,foyer
FR100003,6832,infectieux,CLINENTITY,Détecté,c65,1,foyer
FR100003,6381,incision,EVENT,Détecté,c66,1,incision
FR100003,Non applicable,les lames descendues à partir de la cervicotomie,Non annoté,Détecté,c67,1,lames
FR100003,Non applicable,la cervicotomie,Non annoté,Détecté,c68,1,cervicotomie
FR100003,6426,thoracotomie,EVENT,Détecté,c69,1,thoracotomie
FR100003,5676,soins,EVENT,Détecté,c7,1,soins
FR100003,6456,collections,EVENT,Détecté,c70,1,collections
FR100003,6808,collections profondes,CLINENTITY,Détecté,c70,1,collections
FR100003,6866,médiastin,BODYPART,Détecté,c70,1,collections
FR100003,6866,médiastin,BODYPART,Détecté,c71,1,niveau
FR100003,Non applicable,le stade collecté,Non annoté,Détecté,c72,1,stade
FR100003,6501,prise,EVENT,Détecté,c73,1,prise
FR100003,6471/6816,cellulite,EVENT/CLINENTITY,Détecté,c74,1,drainage
FR100003,6760,cellulite,CLINENTITY,Détecté,c74,1,drainage
FR100003,6824,cellulite,CLINENTITY,Détecté,c74,1,drainage
FR100003,6516,drainage,EVENT,Détecté,c74,1,drainage
FR100003,6531,extraction,EVENT,Détecté,c75,1,extraction
FR100003,6890,la dent causale,BODYPART,Détecté,c75,1,extraction
FR100003,6890,la dent causale,BODYPART,Détecté,c76,1,dent
FR100003,6896,la cavité buccale,BODYPART,Détecté,c77,1,traitement
FR100003,6546,traitement,EVENT,Détecté,c77,1,traitement
FR100003,6896,la cavité buccale,BODYPART,Détecté,c78,1,cavité
FR100003,6832,infectieux,CLINENTITY,Détecté,c79,1,épisode
FR100003,6591,épisode,EVENT,Détecté,c79,1,épisode
FR100003,Non applicable,les urgences,Non annoté,Détecté,c8,1,urgences
FR100003,6606,culture,EVENT,Détecté,c80,1,culture
FR100003,6636,streptococcus,EVENT,Détecté,c81,1,streptococcus
FR100003,6840,streptococcus anginosus,CLINENTITY,Détecté,c81,1,streptococcus
FR100003,6681,résultats,EVENT,Détecté,c82,1,résultats
FR100003,Non applicable,l' hémoculture,Non annoté,Détecté,c83,1,hémoculture
FR100003,5736,altération,EVENT,Détecté,c9,1,masse
FR100003,5721,contexte,EVENT,Détecté,c9,1,masse
FR100003,6712,fébrile,CLINENTITY,Détecté,c9,1,masse
FR100003,5706/6704,masse,EVENT/CLINENTITY,Détecté,c9,1,masse
FR100003,5841,état,EVENT,Détecté,c9,1,masse
FR100078,5616,"1,2",RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,5308,fréquentes,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,4933,montrait,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,4813,montré,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,4873,montré,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,4483,porteur,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,5068,porté,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,4783,présents,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,4738,trouvait,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,5158,éliminant,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100078,5596,Il,ACTOR (PATIENT),Détecté,c1,4,"M.J, patient, Il, patient"
FR100078,5589,Le patient,ACTOR (PATIENT),Détecté,c1,4,"M.J, patient, Il, patient"
FR100078,5603,Le patient,ACTOR (PATIENT),Détecté,c1,4,"M.J, patient, Il, patient"
FR100078,5582,M.J Patient Tunisien âgé de 42 ans,ACTOR (PATIENT),Détecté,c1,4,"M.J, patient, Il, patient"
FR100078,5546,du membre inférieur gauche,BODYPART,Détecté,c10,1,membre
FR100078,4573,Pathergy,EVENT,Détecté,c11,1,Pathergy
FR100078,5610,positif,RML,Détecté,c11,1,Pathergy
FR100078,Non applicable,le long cours,Non annoté,Détecté,c12,1,cours
FR100078,4588,colchicine,EVENT,Détecté,c13,2,"colchicine, colchicine"
FR100078,5233,colchicine,EVENT,Détecté,c13,2,"colchicine, colchicine"
FR100078,4603,aspirine,EVENT,Détecté,c14,1,aspirine
FR100078,4618,prednisone,EVENT,Détecté,c15,1,prednisone
FR100078,Non applicable,faible dose,Non annoté,Détecté,c16,1,dose
FR100078,Non applicable,10 mg/j,Non annoté,Détecté,c17,1,mg/j
FR100078,5570,des berges de l'ulcération,BODYPART,Détecté,c18,6,"ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
FR100078,5378,ulcère,CLINENTITY,Détecté,c18,6,"ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
FR100078,5522,ulcère,CLINENTITY,Détecté,c18,6,"ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
FR100078,4633,ulcères,EVENT,Détecté,c18,6,"ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
FR100078,5370,ulcères des deux jambes,CLINENTITY,Détecté,c18,6,"ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
FR100078,5434,ulcération,CLINENTITY,Détecté,c18,6,"ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
FR100078,5474,ulcérations,CLINENTITY,Détecté,c18,6,"ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
FR100078,5530,ulcérations,CLINENTITY,Détecté,c18,6,"ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
FR100078,5552,des deux jambes,BODYPART,Détecté,c19,2,"jambes, jambes"
FR100078,5558,des jambes,BODYPART,Détecté,c19,2,"jambes, jambes"
FR100078,5370,ulcères des deux jambes,CLINENTITY,Détecté,c19,2,"jambes, jambes"
FR100078,Non applicable,la MB,Non annoté,Détecté,c2,2,"MB, maladie"
FR100078,5394,maladie,CLINENTITY,Détecté,c2,2,"MB, maladie"
FR100078,Non applicable,ces hospitalisations,Non annoté,Détecté,c20,2,"hospitalisation, hospitalisations"
FR100078,4648,hospitalisation,EVENT,Détecté,c20,2,"hospitalisation, hospitalisations"
FR100078,Non applicable,plusieurs reprises,Non annoté,Détecté,c21,1,reprises
FR100078,Non applicable,chaque fois,Non annoté,Détecté,c22,1,fois
FR100078,4663,récidives,EVENT,Détecté,c23,2,"récidives, récidives"
FR100078,5293/5538,récidives,EVENT/CLINENTITY,Détecté,c23,2,"récidives, récidives"
FR100078,5378,ulcère,CLINENTITY,Détecté,c23,2,"récidives, récidives"
FR100078,5522,ulcère,CLINENTITY,Détecté,c23,2,"récidives, récidives"
FR100078,5394,maladie,CLINENTITY,Détecté,c24,1,poussée
FR100078,4678,poussée,EVENT,Détecté,c24,1,poussée
FR100078,5386,poussée cutanéo-muqueuse,CLINENTITY,Détecté,c24,1,poussée
FR100078,4693,arrêt,EVENT,Détecté,c25,1,notion
FR100078,4708,traitement,EVENT,Détecté,c25,1,notion
FR100078,4693,arrêt,EVENT,Détecté,c26,1,arrêt
FR100078,4708,traitement,EVENT,Détecté,c26,1,arrêt
FR100078,4708,traitement,EVENT,Détecté,c27,1,traitement
FR100078,4723,examen,EVENT,Détecté,c28,1,examen
FR100078,Non applicable,le moment de ces hospitalisations,Non annoté,Détecté,c29,1,moment
FR100078,Non applicable,l' âge de 27 ans,Non annoté,Détecté,c3,1,âge
FR100078,5083,signes,EVENT,Détecté,c30,1,signes
FR100078,4753,thrombophlébites,EVENT,Détecté,c30,1,signes
FR100078,5402,thrombophlébites superficielles,CLINENTITY,Détecté,c30,1,signes
FR100078,4753,thrombophlébites,EVENT,Détecté,c31,1,thrombophlébites
FR100078,5402,thrombophlébites superficielles,CLINENTITY,Détecté,c31,1,thrombophlébites
FR100078,Non applicable,le niveau de les jambes,Non annoté,Détecté,c32,1,niveau
FR100078,4768,pouls,EVENT,Détecté,c33,1,pouls
FR100078,4798,doppler,EVENT,Détecté,c34,1,doppler
FR100078,4858,doppler,EVENT,Détecté,c34,1,doppler
FR100078,5564,des membres inférieurs,BODYPART,Détecté,c35,1,membres
FR100078,4828,insuffisance,EVENT,Détecté,c36,1,signes
FR100078,5410,insuffisance veineuse,CLINENTITY,Détecté,c36,1,signes
FR100078,5083,signes,EVENT,Détecté,c36,1,signes
FR100078,4843,thrombose,EVENT,Détecté,c36,1,signes
FR100078,5418,thrombose profonde,CLINENTITY,Détecté,c36,1,signes
FR100078,4828,insuffisance,EVENT,Détecté,c37,1,insuffisance
FR100078,5410,insuffisance veineuse,CLINENTITY,Détecté,c37,1,insuffisance
FR100078,4843,thrombose,EVENT,Détecté,c38,1,thrombose
FR100078,5418,thrombose profonde,CLINENTITY,Détecté,c38,1,thrombose
FR100078,4798,doppler,EVENT,Détecté,c39,1,doppler
FR100078,4858,doppler,EVENT,Détecté,c39,1,doppler
FR100078,4498,diagnostic,EVENT,Détecté,c4,1,diagnostic
FR100078,5053,diagnostic,EVENT,Détecté,c4,1,diagnostic
FR100078,4888/5426,artériopathie,EVENT/CLINENTITY,Détecté,c40,1,signes
FR100078,5083,signes,EVENT,Détecté,c40,1,signes
FR100078,4888/5426,artériopathie,EVENT/CLINENTITY,Détecté,c41,1,artériopathie
FR100078,4903,indice,EVENT,Détecté,c42,1,indice
FR100078,Non applicable,pression systolique,Non annoté,Détecté,c43,1,pression
FR100078,4918,biopsie,EVENT,Détecté,c44,1,biopsie
FR100078,5434,ulcération,CLINENTITY,Détecté,c44,1,biopsie
FR100078,5434,ulcération,CLINENTITY,Détecté,c45,1,niveau
FR100078,5570,des berges de l'ulcération,BODYPART,Détecté,c46,1,berges
FR100078,5434,ulcération,CLINENTITY,Détecté,c46,1,berges
FR100078,5083,signes,EVENT,Détecté,c47,1,signes
FR100078,4948,vascularite,EVENT,Détecté,c47,1,signes
FR100078,5442,vascularite dermique leucocytoclasique,CLINENTITY,Détecté,c47,1,signes
FR100078,4948,vascularite,EVENT,Détecté,c48,1,vascularite
FR100078,5442,vascularite dermique leucocytoclasique,CLINENTITY,Détecté,c48,1,vascularite
FR100078,4963/5450,micro-thromboses,EVENT/CLINENTITY,Détecté,c49,1,micro-thromboses
FR100078,4573,Pathergy,EVENT,Détecté,c5,1,association
FR100078,4528,aphtes,EVENT,Détecté,c5,1,association
FR100078,5346,aphtes génitaux,CLINENTITY,Détecté,c5,1,association
FR100078,4513,aphtose,EVENT,Détecté,c5,1,association
FR100078,5338,aphtose buccale,CLINENTITY,Détecté,c5,1,association
FR100078,5610,positif,RML,Détecté,c5,1,association
FR100078,4543/5354,pseudofolliculites,EVENT/CLINENTITY,Détecté,c5,1,association
FR100078,4558/5362,thrombophlébite,EVENT/CLINENTITY,Détecté,c5,1,association
FR100078,4978,infiltration,EVENT,Détecté,c50,1,infiltration
FR100078,5458,infiltration inflammatoire lymphocytaire,CLINENTITY,Détecté,c50,1,infiltration
FR100078,5576,du derme profond,BODYPART,Détecté,c51,1,derme
FR100078,4993/5466,surinfection,EVENT/CLINENTITY,Détecté,c52,1,épisodes
FR100078,5474,ulcérations,CLINENTITY,Détecté,c52,1,épisodes
FR100078,5530,ulcérations,CLINENTITY,Détecté,c52,1,épisodes
FR100078,Non applicable,ces infections,Non annoté,Détecté,c53,2,"surinfection, infections"
FR100078,4993/5466,surinfection,EVENT/CLINENTITY,Détecté,c53,2,"surinfection, infections"
FR100078,5474,ulcérations,CLINENTITY,Détecté,c53,2,"surinfection, infections"
FR100078,5530,ulcérations,CLINENTITY,Détecté,c53,2,"surinfection, infections"
FR100078,5008,antibiotiques,EVENT,Détecté,c54,1,recours
FR100078,5008,antibiotiques,EVENT,Détecté,c55,1,antibiotiques
FR100078,5023,dernière,EVENT,Détecté,c56,1,dernière
FR100078,5038,pseudomonas,EVENT,Détecté,c57,1,pseudomonas
FR100078,5482,pseudomonas aéroginosa,CLINENTITY,Détecté,c57,1,pseudomonas
FR100078,4498,diagnostic,EVENT,Détecté,c58,1,diagnostic
FR100078,5053,diagnostic,EVENT,Détecté,c58,1,diagnostic
FR100078,5083,signes,EVENT,Détecté,c59,1,ensemble
FR100078,4513,aphtose,EVENT,Détecté,c6,1,aphtose
FR100078,5338,aphtose buccale,CLINENTITY,Détecté,c6,1,aphtose
FR100078,5098/5490,fièvre,EVENT/CLINENTITY,Détecté,c60,1,fièvre
FR100078,5498,présence de pus,CLINENTITY,Détecté,c61,1,présence
FR100078,5113,pus,EVENT,Détecté,c61,1,présence
FR100078,5498,présence de pus,CLINENTITY,Détecté,c62,1,pus
FR100078,5113,pus,EVENT,Détecté,c62,1,pus
FR100078,4723,examen,EVENT,Détecté,c63,1,examen
FR100078,5128/5506,hyperleucocytose,EVENT/CLINENTITY,Détecté,c64,1,hyperleucocytose
FR100078,5143,C-réactive,EVENT,Détecté,c65,1,C-réactive
FR100078,5622,élevée,RML,Détecté,c65,1,C-réactive
FR100078,5173,colonisation,EVENT,Détecté,c66,1,colonisation
FR100078,5514,colonisation bactérienne,CLINENTITY,Détecté,c66,1,colonisation
FR100078,5378,ulcère,CLINENTITY,Détecté,c66,1,colonisation
FR100078,5522,ulcère,CLINENTITY,Détecté,c66,1,colonisation
FR100078,5188,traitements,EVENT,Détecté,c67,1,traitements
FR100078,5203,antibiothérapie,EVENT,Détecté,c68,1,antibiothérapie
FR100078,4588,colchicine,EVENT,Détecté,c69,1,reprise
FR100078,5233,colchicine,EVENT,Détecté,c69,1,reprise
FR100078,5248,glucocorticoïdes,EVENT,Détecté,c69,1,reprise
FR100078,5218,reprise,EVENT,Détecté,c69,1,reprise
FR100078,4528,aphtes,EVENT,Détecté,c7,1,aphtes
FR100078,5346,aphtes génitaux,CLINENTITY,Détecté,c7,1,aphtes
FR100078,4588,colchicine,EVENT,Détecté,c70,1,colchicine
FR100078,5233,colchicine,EVENT,Détecté,c70,1,colchicine
FR100078,5248,glucocorticoïdes,EVENT,Détecté,c70,1,colchicine
FR100078,5248,glucocorticoïdes,EVENT,Détecté,c71,1,glucocorticoïdes
FR100078,5263,évolution,EVENT,Détecté,c72,1,évolution
FR100078,5278,cicatrisation,EVENT,Détecté,c73,1,cicatrisation
FR100078,5474,ulcérations,CLINENTITY,Détecté,c73,1,cicatrisation
FR100078,5530,ulcérations,CLINENTITY,Détecté,c73,1,cicatrisation
FR100078,5323,observance,EVENT,Détecté,c74,1,observance
FR100078,4543/5354,pseudofolliculites,EVENT/CLINENTITY,Détecté,c8,1,pseudofolliculites
FR100078,4558/5362,thrombophlébite,EVENT/CLINENTITY,Détecté,c9,1,thrombophlébite
FR100092,4744,admise,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,4714,mariée,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,5119,noté,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,4729,nullipare,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,4954,objective,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,5224,révèle,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,5374,révèle,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,5434,révèle,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,5524,sortante,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,4909,trouve,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,5074,visualisé,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,4699,âgée,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,5179,évoque,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100092,5773,La patiente,ACTOR (PATIENT),Détecté,c1,3,"Mme, patiente, patiente"
FR100092,5759,Mme HK,ACTOR (PATIENT),Détecté,c1,3,"Mme, patiente, patiente"
FR100092,5780,la patiente,ACTOR (PATIENT),Détecté,c1,3,"Mme, patiente, patiente"
FR100092,5766,une patiente,ACTOR (PATIENT),Détecté,c1,3,"Mme, patiente, patiente"
FR100092,5853,2 mois,TIMEX3,Détecté,c10,1,métrorragies
FR100092,4804,aménorrhée,EVENT,Détecté,c10,1,métrorragies
FR100092,4789/5547,métrorragies,EVENT/CLINENTITY,Détecté,c10,1,métrorragies
FR100092,5853,2 mois,TIMEX3,Détecté,c11,1,aménorrhée
FR100092,4804,aménorrhée,EVENT,Détecté,c11,1,aménorrhée
FR100092,5853,2 mois,TIMEX3,Détecté,c12,1,mois
FR100092,4819,examen,EVENT,Détecté,c13,1,examen
FR100092,4894,examen,EVENT,Détecté,c13,1,examen
FR100092,4939,examen,EVENT,Détecté,c13,1,examen
FR100092,Non applicable,l' admission,Non annoté,Détecté,c14,1,admission
FR100092,5773,La patiente,ACTOR (PATIENT),Détecté,c15,1,patiente
FR100092,4834/5555,apyrétique,EVENT/CLINENTITY,Détecté,c15,1,patiente
FR100092,5780,la patiente,ACTOR (PATIENT),Détecté,c15,1,patiente
FR100092,5766,une patiente,ACTOR (PATIENT),Détecté,c15,1,patiente
FR100092,4849,conjonctives,EVENT,Détecté,c16,1,conjonctives
FR100092,5787,10/6,RML,Détecté,c17,1,tension
FR100092,4864,tension,EVENT,Détecté,c17,1,tension
FR100092,5793,80 battements par minute,RML,Détecté,c18,1,fréquence
FR100092,4879,fréquence,EVENT,Détecté,c18,1,fréquence
FR100092,5793,80 battements par minute,RML,Détecté,c19,1,battements
FR100092,Non applicable,27 ans,Non annoté,Détecté,c2,1,ans
FR100092,5793,80 battements par minute,RML,Détecté,c20,1,minute
FR100092,4819,examen,EVENT,Détecté,c21,1,examen
FR100092,4894,examen,EVENT,Détecté,c21,1,examen
FR100092,4939,examen,EVENT,Détecté,c21,1,examen
FR100092,4924,sensibilité,EVENT,Détecté,c22,1,sensibilité
FR100092,5563,sensibilité pelvienne,CLINENTITY,Détecté,c22,1,sensibilité
FR100092,4819,examen,EVENT,Détecté,c23,1,examen
FR100092,4894,examen,EVENT,Détecté,c23,1,examen
