doc,mention_id,texte_maillon,tete_lexicale,upos_tete,nature,fonction
FR100092,c6,prise en charge d' une douleur de la fosse iliaque droite apparue depuis 1 semaine associée à de les métrorragies sur aménorrhée de 2 mois,prise,NOUN,SN∅,Obl
FR100092,c14,l' admission,admission,NOUN,SNdef,autre
FR100092,c13,L' examen à l' admission,examen,NOUN,SNdef,Suj
FR100092,c15,une patiente apyrétique,patiente,NOUN,SNind,OD
FR100092,c16,les conjonctives normocolorées,conjonctives,NOUN,SNdef,autre
FR100092,c17,une tension artérielle à 10 / 6,tension,NOUN,SNind,Obl
FR100092,c19,80 battements par minute,battements,NOUN,SNnum,autre
FR100092,c18,une fréquence cardiaque à 80 battements par minute,fréquence,NOUN,SNind,autre
FR100092,c20,minute,minute,NOUN,SN∅,autre
FR100092,c21,L' examen abdominal,examen,NOUN,SNdef,Suj
FR100092,c22,une sensibilité pelvienne bilatérale accentuée à droite,sensibilité,NOUN,SNind,OD
FR100092,c23,L' examen gynécologique,examen,NOUN,SNdef,Suj
FR100092,c24,un col d' aspect normal,col,NOUN,SNind,OD
FR100092,c26,l' endocol,endocol,NOUN,SNdef,Obl
FR100092,c25,un saignement minime et noirâtre provenant de l' endocol,saignement,NOUN,SNind,autre
FR100092,c28,taille normal,taille,NOUN,SN∅,autre
FR100092,c30,cri de douglas,cri,NOUN,SN∅,autre
FR100092,c29,un empâtement latéroutérin droit sensible sans cri de douglas,empâtement,NOUN,SNind,autre
FR100092,c27,un utérus de taille normal avec un empâtement latéroutérin droit sensible sans cri de douglas,utérus,NOUN,SNind,autre
FR100092,c31,l' échographie pelvienne,échographie,NOUN,SNdef,autre
FR100092,c27,l' utérus,utérus,NOUN,SNdef,Suj
FR100092,c32,taille normal,taille,NOUN,SN∅,autre
FR100092,c33,une ligne d' interface,ligne,NOUN,SNind,Obl
FR100092,c33,qui,qui,PRON,Pro,Suj
FR100092,c34,le fond,fond,NOUN,SNdef,Obl
FR100092,c36,une masse latéroutérine droite mal systématisée,masse,NOUN,SNind,autre
FR100092,c37,89 /60mm,/60mm,NOUN,SNnum,OD
FR100092,c35,présence d' une masse latéroutérine droite mal systématisée faisant 89 /60mm,présence,NOUN,SN∅,autre
FR100092,c38,l' ovaire gauche,ovaire,NOUN,SNdef,Suj
FR100092,c39,une image anéchogène kystique simple de 42/42mm,image,NOUN,SNind,autre
FR100092,c40,un épanchement de moyenne abondance,épanchement,NOUN,SNind,Suj
FR100092,c42,β-HCG,β-HCG,NOUN,SN∅,autre
FR100092,c42,hormone gonadotrophique chorionique,hormone,NOUN,SN∅,autre
FR100092,c41,Le taux de β-HCG ( hormone gonadotrophique chorionique ) plasmatique,taux,NOUN,SNdef,Suj
FR100092,c43,1437 UI/ l,l,NOUN,SNnum,Obl
FR100092,c44,Le tableau,tableau,NOUN,SNdef,Suj
FR100092,c46,grossesse extra utérine droite,grossesse,NOUN,SN∅,autre
FR100092,c45,le diagnostic de grossesse extra utérine droite,diagnostic,NOUN,SNdef,OD
FR100092,c48,le bilan biologique,bilan,NOUN,SNdef,autre
FR100092,c47,Le reste de le bilan biologique,reste,NOUN,SNdef,Suj
FR100092,c50,"11,4 g / dl",g,NOUN,SNnum,autre
FR100092,c51,les globules blancs,globules,NOUN,SNdef,autre
FR100092,c52,7530 / mm 3,7530,NUM,Autre,autre
FR100092,c49,"une hémoglobine à 11,4 g / dl , de les globules blancs à 7530 / mm 3",hémoglobine,NOUN,SNind,OD
FR100092,c1,La patiente,patiente,NOUN,SNdef,Suj
FR100092,c53,une minilaparotomie transversale,minilaparotomie,NOUN,SNind,Obl
FR100092,c54,l' exploration,exploration,NOUN,SNdef,autre
FR100092,c56,un hémopéritoine de 700cc,hémopéritoine,NOUN,SNind,autre
FR100092,c58,une grossesse extrautérine en voie d' organisation,grossesse,NOUN,SNind,autre
FR100092,c57,découverte d' une grossesse extrautérine en voie d' organisation,découverte,NOUN,SN∅,autre
FR100092,c59,"trompe droite boudinée , et perforée",trompe,NOUN,SN∅,autre
FR100092,c55,"présence d' un hémopéritoine de 700cc , avec découverte d' une grossesse extrautérine en voie d' organisation avec trompe droite boudinée , et perforée",présence,NOUN,SN∅,autre
FR100092,c61,une salpingectomie droite rétrograde,salpingectomie,NOUN,SNind,OD
FR100092,c60,la décision de rélaiser une salpingectomie droite rétrograde,décision,NOUN,SNdef,Obl
FR100092,c54,l' exploration,exploration,NOUN,SNdef,autre
FR100092,c62,Le reste de l' exploration,reste,NOUN,SNdef,Suj
FR100092,c63,les adhérences interhépatodia phragmatiques,adhérences,NOUN,SNdef,OD
FR100092,c36,la masse latéroutérine,masse,NOUN,SNdef,Obl
FR100092,c64,un appendice enflé accolé à la masse latéroutérine,appendice,NOUN,SNind,Obl
FR100092,c65,une appendicectomie,appendicectomie,NOUN,SNind,Suj
FR100092,c66,L' étude anatomopathologiaque,étude,NOUN,SNdef,Suj
FR100092,c67,une grossesse tubaire perforée,grossesse,NOUN,SNind,OD
FR100092,c69,réaction péritonéale locale,réaction,NOUN,SN∅,Obl
FR100092,c68,une appendicite aigue suppurée avec réaction péritonéale locale,appendicite,NOUN,SNind,autre
FR100092,c70,Les suites post opératoires,suites,NOUN,SNdef,Suj
FR100092,c71,particularités,particularités,NOUN,SN∅,autre
FR100092,c1,la patiente,patiente,NOUN,SNdef,Suj
FR100092,c72,le 3 ème jour,3,NUM,Autre,Obl
FR100120,c2,37 ans,ans,NOUN,SNnum,Obl
FR100120,c1,"un militaire tunisien , âgé de 37 ans , de sexe masculin",militaire,NOUN,SNind,Obl
FR100120,c3,le contingent tunisien,contingent,NOUN,SNdef,autre
FR100120,c4,République Démocratique de le Congo,République,NOUN,SN∅,autre
FR100120,c5,l' année 2008,année,NOUN,SNdef,Obl
FR100120,c1,ses,ses,DET,Poss,autre
FR100120,c6,ses antécédents,antécédents,NOUN,Poss,Obl
FR100120,c9,antidiabétiques oraux,antidiabétiques,NOUN,SN∅,Obl
FR100120,c10,cinq ans,ans,NOUN,SNnum,Obl
FR100120,c8,un diabète non insulinodépendant bien équilibré sous antidiabétiques oraux depuis cinq ans,diabète,NOUN,SNind,OD
FR100120,c11,une obésité,obésité,NOUN,SNind,autre
FR100120,c12,Indice de Masse Corporelle,Indice,NOUN,SN∅,Suj
FR100120,c13,37 kg / m 2,kg,NOUN,SNnum,OD
FR100120,c14,une dyslipidémie,dyslipidémie,NOUN,SNind,Obl
FR100120,c7,un diabète non insulinodépendant bien équilibré sous antidiabétiques oraux depuis cinq ans et une obésité ( Indice de Masse Corporelle = 37 kg / m 2 ) associée à une dyslipidémie,diabète,NOUN,SNind,OD
FR100120,c15,octobre 2008,octobre,NOUN,SN∅,Obl
FR100120,c1,ce militaire,militaire,NOUN,SNdem,Suj
FR100120,c16,10 semaines,semaines,NOUN,SNnum,Obl
FR100120,c17,une zone périphérique de Kinshasa,zone,NOUN,SNind,Obl
FR100120,c18,Kinshasa,Kinshasa,PROPN,Np,autre
FR100120,c19,Un mois,mois,NOUN,SNind,Obl
FR100120,c1,il,il,PRON,Pro,Suj
FR100120,c20,la consultation,consultation,NOUN,SNdef,Obl
FR100120,c22,6 jours,jours,NOUN,SNnum,Obl
FR100120,c24,le thorax,thorax,NOUN,SNdef,autre
FR100120,c25,l' épaule,épaule,NOUN,SNdef,autre
FR100120,c23,le niveau de le thorax et de l' épaule,niveau,NOUN,SNdef,Obl
FR100120,c21,deux papules prurigineuses isolées apparues depuis 6 jours à le niveau de le thorax et de l' épaule,papules,NOUN,SNnum,Obl
FR100120,c26,L' examen clinique,examen,NOUN,SNdef,Suj
FR100120,c21,deux lésions furonculoïdes,lésions,NOUN,SNnum,OD
FR100120,c27,5 mm de diamètre chacune,mm,NOUN,SNnum,autre
FR100120,c28,un petit orifice,orifice,NOUN,SNind,Obl
FR100120,c29,le pus,pus,NOUN,SNdef,OD
FR100120,c30,un liseré érythémateux légèrement tuméfié,liseré,NOUN,SNind,Obl
FR100120,c31,chaleur locale,chaleur,NOUN,SN∅,autre
FR100120,c26,l' examen,examen,NOUN,SNdef,autre
FR100120,c32,Le reste de l' examen,reste,NOUN,SNdef,Suj
FR100120,c33,fièvre,fièvre,NOUN,SN∅,autre
FR100120,c34,le bilan biologique standard,bilan,NOUN,SNdef,Suj
FR100120,c35,élément d' orientation,élément,NOUN,SN∅,OD
FR100120,c36,le terrain de débilité,terrain,NOUN,SNdef,Obl
FR100120,c8,diabète type II,diabète,NOUN,SN∅,autre
FR100120,c38,oxacycline,oxacycline,NOUN,SN∅,autre
FR100120,c40,2 g / jour,g,NOUN,SNnum,autre
FR100120,c39,la dose de 2 g / jour,dose,NOUN,SNdef,autre
FR100120,c41,jour,jour,NOUN,SN∅,autre
FR100120,c42,7 jours per os,jours,NOUN,SNnum,autre
FR100120,c43,os,os,NOUN,SN∅,autre
FR100120,c44,les soins locaux,soins,NOUN,SNdef,autre
FR100120,c37,un traitement à base d' oxacycline à la dose de 2 g / jour pendant 7 jours per os avec de les soins locaux,traitement,NOUN,SNind,Suj
FR100120,c45,Le retard de guérison,retard,NOUN,SNdef,Suj
FR100120,c46,guérison,guérison,NOUN,SN∅,autre
FR100120,c1,son,son,DET,Poss,autre
FR100120,c8,son diabète,diabète,NOUN,Poss,Obl
FR100120,c21,les lésions,lésions,NOUN,SNdef,Suj
FR100120,c47,une pommade antibiotique à base de cyclines,pommade,NOUN,SNind,Obl
FR100120,c48,cyclines,cyclines,NOUN,SN∅,autre
FR100120,c47,pommade hydrophobe,pommade,NOUN,SN∅,autre
FR100120,c47,la pommade grasse,pommade,NOUN,SNdef,autre
FR100120,c50,traitement par la pommade grasse,traitement,NOUN,SN∅,autre
FR100120,c49,deux jours de traitement par la pommade grasse,jours,NOUN,SNnum,Obl
FR100120,c52,dimensions 10x5mm,dimensions,NOUN,SN∅,autre
FR100120,c51,deux larves blanchâtres de dimensions 10x5mm,larves,NOUN,SNnum,Suj
FR100120,c21,chaque lésion,lésion,NOUN,SNind,Obl
FR100120,c53,une compression bidigitale,compression,NOUN,SNind,autre
FR100120,c51,Ces larves,larves,NOUN,SNdem,Suj
FR100120,c55,une pince,pince,NOUN,SNind,autre
FR100120,c54,l' aide d' une pince,aide,NOUN,SNdef,Obl
FR100120,c51,elles,elles,PRON,Pro,Obl
FR100120,c28,un orifice propre sans pus,orifice,NOUN,SNind,OD
FR100120,c29,pus,pus,NOUN,SN∅,autre
FR100120,c21,la lésion cutanée,lésion,NOUN,SNdef,autre
FR100120,c56,L' aspect furonculoïde de la lésion cutanée,aspect,NOUN,SNdef,Suj
FR100120,c58,les événements,événements,NOUN,SNdef,autre
FR100120,c57,la chronologie de les événements,chronologie,NOUN,SNdef,autre
FR100120,c4,république Démocratique de le Congo,république,NOUN,SN∅,autre
FR100120,c60,séjour en république Démocratique de le Congo,séjour,NOUN,SN∅,autre
FR100120,c59,la notion de séjour en république Démocratique de le Congo,notion,NOUN,SNdef,autre
FR100120,c51,la larve,larve,NOUN,SNdef,autre
FR100120,c61,la morphologie de la larve,morphologie,NOUN,SNdef,Obl
FR100120,c63,myiase furonculoïde,myiase,NOUN,SN∅,autre
FR100120,c62,le diagnostic de myiase furonculoïde,diagnostic,NOUN,SNdef,Obl
FR100120,c51,les larves,larves,NOUN,SNdef,Suj
FR100120,c64,Cordylobia anthropophaga,Cordylobia,PROPN,Np,Obl
FR100130,c2,49 ans,ans,NOUN,SNnum,Obl
FR100130,c3,antécédents pathologiques,antécédents,NOUN,SN∅,autre
FR100130,c4,notre service,service,NOUN,Poss,Obl
FR100130,c5,2006,2006,NUM,Autre,Obl
FR100130,c8,les antalgiques,antalgiques,NOUN,SNdef,Obl
FR100130,c7,lombalgies mécaniques résistantes à les antalgiques,lombalgies,NOUN,SN∅,autre
FR100130,c9,une raideur rachidienne,raideur,NOUN,SNind,autre
FR100130,c11,les muscles abdominaux,muscles,NOUN,SNdef,autre
FR100130,c10,une contracture de les muscles abdominaux,contracture,NOUN,SNind,Obl
FR100130,c12,un an,an,NOUN,SNind,Obl
FR100130,c6,exploration de lombalgies mécaniques résistantes à les antalgiques et d' une raideur rachidienne associées à une contracture de les muscles abdominaux évoluant depuis un an,exploration,NOUN,SN∅,Obl
FR100130,c1,un patient âgé de 49 ans sans antécédents pathologiques admis dans notre service en 2006 pour exploration de lombalgies mécaniques résistantes à les antalgiques et d' une raideur rachidienne associées à une contracture de les muscles abdominaux évoluant depuis un an,patient,NOUN,SNind,Obl
FR100130,c1,Il,Il,PRON,Pro,Suj
FR100130,c13,épisodes de torticolis spontanément résolutifs,épisodes,NOUN,SN∅,Obl
FR100130,c14,L' examen physique,examen,NOUN,SNdef,Suj
FR100130,c16,bon état général et apyrétique,état,NOUN,SN∅,autre
FR100130,c15,un patient en bon état général et apyrétique .,patient,NOUN,SNind,OD
FR100130,c17,On,On,PRON,Pro,Suj
