doc,entite_source,source_type,relation,entite_cible,cible_type,texte_contexte
FR100003,état,EVENT,OVERLAP,fièvre,EVENT,"L'état respiratoire était normal: fréquence respiratoire 22 cycles/mn, une SaO2 à 96% à l'air ambiant, une fièvre à 39°."
FR100003,bilan,EVENT,BEFORE,TDM,EVENT,"Le bilan biologique initiale montre une hyperleucocytose à 85OOO, une CRP à 350 mg/l et une glycémie à 12 mmol/l."
FR100003,hyperleucocytose,EVENT,CONTAINS,bilan,EVENT,"Le bilan biologique initiale montre une hyperleucocytose à 85OOO, une CRP à 350 mg/l et une glycémie à 12 mmol/l."
FR100003,CRP,EVENT,CONTAINS,bilan,EVENT,"Le bilan biologique initiale montre une hyperleucocytose à 85OOO, une CRP à 350 mg/l et une glycémie à 12 mmol/l."
FR100003,glycémie,EVENT,CONTAINS,bilan,EVENT,"Le bilan biologique initiale montre une hyperleucocytose à 85OOO, une CRP à 350 mg/l et une glycémie à 12 mmol/l."
FR100003,TDM,EVENT,BEFORE,panoramique,EVENT,La TDM cervicothoracique révèle un phlegmon avec cellulite profonde abcédée des espaces cervicaux antérolatéraux gauches fusant le long de l''espace retropharyngolaryngé étendue au médiastin compliqué d'une médiastinite associé à un épanchement pleural droit.
FR100003,phlegmon,EVENT,CONTAINS,TDM,EVENT,La TDM cervicothoracique révèle un phlegmon avec cellulite profonde abcédée des espaces cervicaux antérolatéraux gauches fusant le long de l''espace retropharyngolaryngé étendue au médiastin compliqué d'une médiastinite associé à un épanchement pleural droit.
FR100003,médiastinite,EVENT,CONTAINS,TDM,EVENT,La TDM cervicothoracique révèle un phlegmon avec cellulite profonde abcédée des espaces cervicaux antérolatéraux gauches fusant le long de l''espace retropharyngolaryngé étendue au médiastin compliqué d'une médiastinite associé à un épanchement pleural droit.
FR100003,épanchement,EVENT,CONTAINS,TDM,EVENT,La TDM cervicothoracique révèle un phlegmon avec cellulite profonde abcédée des espaces cervicaux antérolatéraux gauches fusant le long de l''espace retropharyngolaryngé étendue au médiastin compliqué d'une médiastinite associé à un épanchement pleural droit.
FR100003,panoramique,EVENT,BEFORE,ponction,EVENT,Le panoramique dentaire objective un délabrement de la 45 (3éme molaire) avec granulome de la racine dentaire.
FR100003,délabrement,EVENT,CONTAINS,granulome,EVENT,Le panoramique dentaire objective un délabrement de la 45 (3éme molaire) avec granulome de la racine dentaire.
FR100003,délabrement,EVENT,CONTAINS,panoramique,EVENT,Le panoramique dentaire objective un délabrement de la 45 (3éme molaire) avec granulome de la racine dentaire.
FR100003,granulome,EVENT,CONTAINS,panoramique,EVENT,Le panoramique dentaire objective un délabrement de la 45 (3éme molaire) avec granulome de la racine dentaire.
FR100003,ponction,EVENT,CONTAINS,ramené,EVENT,La ponction sous-cutanée sous anesthésie locale après injection d'un petit volume de sérum physiologique (10 ml) de la collection a ramené du pus.
FR100003,ponction,EVENT,BEFORE,examen,EVENT,La ponction sous-cutanée sous anesthésie locale après injection d'un petit volume de sérum physiologique (10 ml) de la collection a ramené du pus.
FR100003,injection,EVENT,BEFORE,ponction,EVENT,La ponction sous-cutanée sous anesthésie locale après injection d'un petit volume de sérum physiologique (10 ml) de la collection a ramené du pus.
FR100003,examen,EVENT,BEFORE,examen,EVENT,L'examen cytobactériologique montre des leucocytes nombreux avec des bactéries abondantes et polymorphes.
FR100003,leucocytes,EVENT,CONTAINS,examen,EVENT,L'examen cytobactériologique montre des leucocytes nombreux avec des bactéries abondantes et polymorphes.
FR100003,bactéries,EVENT,CONTAINS,examen,EVENT,L'examen cytobactériologique montre des leucocytes nombreux avec des bactéries abondantes et polymorphes.
FR100003,examen,EVENT,BEFORE,antibiothérapie,EVENT,L'examen direct coloré GRAM: Flore bactérienne très abondantes et mixte évoquant les anaérobies.
FR100003,abondantes,EVENT,CONTAINS,examen,EVENT,L'examen direct coloré GRAM: Flore bactérienne très abondantes et mixte évoquant les anaérobies.
FR100003,mixte,EVENT,CONTAINS,examen,EVENT,L'examen direct coloré GRAM: Flore bactérienne très abondantes et mixte évoquant les anaérobies.
FR100003,antibiothérapie,EVENT,BEFORE,bloc,EVENT,"Une antibiothérapie initiale, adjuvante, probabiliste a été instaurée par voie intraveineuse le plus vite possible avant le bloc amoxicilline+acide clavulanique (augmentin 2g× 3/j) associé à 5-nitro-imidazolés (flagyl 500 mg× 3/j)."
FR100003,antibiothérapie,EVENT,BEGINS-ON,instaurée,EVENT,"Une antibiothérapie initiale, adjuvante, probabiliste a été instaurée par voie intraveineuse le plus vite possible avant le bloc amoxicilline+acide clavulanique (augmentin 2g× 3/j) associé à 5-nitro-imidazolés (flagyl 500 mg× 3/j)."
FR100003,instaurée,EVENT,INITIATES,antibiothérapie,EVENT,"Une antibiothérapie initiale, adjuvante, probabiliste a été instaurée par voie intraveineuse le plus vite possible avant le bloc amoxicilline+acide clavulanique (augmentin 2g× 3/j) associé à 5-nitro-imidazolés (flagyl 500 mg× 3/j)."
FR100003,instaurée,EVENT,BEFORE,bloc,EVENT,"Une antibiothérapie initiale, adjuvante, probabiliste a été instaurée par voie intraveineuse le plus vite possible avant le bloc amoxicilline+acide clavulanique (augmentin 2g× 3/j) associé à 5-nitro-imidazolés (flagyl 500 mg× 3/j)."
FR100003,bloc,EVENT,CONTAINS,abordé,EVENT,"Au bloc opératoire sous anesthésie générale, le foyer infectieux est abordé par une large incision cervicale et le phlegmon abcédé a été drainé par des lames descendues à partir de la cervicotomie."
FR100003,bloc,EVENT,CONTAINS,drainé,EVENT,"Au bloc opératoire sous anesthésie générale, le foyer infectieux est abordé par une large incision cervicale et le phlegmon abcédé a été drainé par des lames descendues à partir de la cervicotomie."
FR100003,bloc,EVENT,CONTAINS,thoracotomie,EVENT,"Au bloc opératoire sous anesthésie générale, le foyer infectieux est abordé par une large incision cervicale et le phlegmon abcédé a été drainé par des lames descendues à partir de la cervicotomie."
FR100003,foyer,EVENT,CONTAINS,abordé,EVENT,"Au bloc opératoire sous anesthésie générale, le foyer infectieux est abordé par une large incision cervicale et le phlegmon abcédé a été drainé par des lames descendues à partir de la cervicotomie."
FR100003,abordé,EVENT,CONTAINS,incision,EVENT,"Au bloc opératoire sous anesthésie générale, le foyer infectieux est abordé par une large incision cervicale et le phlegmon abcédé a été drainé par des lames descendues à partir de la cervicotomie."
FR100003,phlegmon,EVENT,CONTAINS,drainé,EVENT,"Au bloc opératoire sous anesthésie générale, le foyer infectieux est abordé par une large incision cervicale et le phlegmon abcédé a été drainé par des lames descendues à partir de la cervicotomie."
FR100003,thoracotomie,EVENT,OVERLAP,cellulite,EVENT,Une thoracotomie a été réalisée pour drainer les collections profondes au niveau du médiastin.
FR100003,thoracotomie,EVENT,CONTAINS,drainer,EVENT,Une thoracotomie a été réalisée pour drainer les collections profondes au niveau du médiastin.
FR100003,collections,EVENT,CONTAINS,drainer,EVENT,Une thoracotomie a été réalisée pour drainer les collections profondes au niveau du médiastin.
FR100003,cellulite,EVENT,CONTAINS,drainage,EVENT,Une cellulite au stade collecté justifie d'une prise en charge chirurgicale.
FR100003,cellulite,EVENT,CONTAINS,prise,EVENT,Une cellulite au stade collecté justifie d'une prise en charge chirurgicale.
FR100003,cellulite,EVENT,CONTAINS,justifie,EVENT,Une cellulite au stade collecté justifie d'une prise en charge chirurgicale.
FR100003,justifie,EVENT,BEFORE,prise,EVENT,Une cellulite au stade collecté justifie d'une prise en charge chirurgicale.
FR100003,drainage,EVENT,BEFORE,extraction,EVENT,"Au décours du drainage de la cellulite, l'extraction de la dent causale a été réalisée."
FR100003,drainage,EVENT,BEFORE,traitement,EVENT,"Au décours du drainage de la cellulite, l'extraction de la dent causale a été réalisée."
FR100003,traitement,EVENT,OVERLAP,prévenir,EVENT,Un traitement complémentaire de la cavité buccale s'est avéré nécessaire pour prévenir tout autre épisode infectieux similaire.
FR100003,traitement,EVENT,OVERLAP,culture,EVENT,Un traitement complémentaire de la cavité buccale s'est avéré nécessaire pour prévenir tout autre épisode infectieux similaire.
FR100003,traitement,EVENT,SIMULTANEOUS,nécessaire,EVENT,Un traitement complémentaire de la cavité buccale s'est avéré nécessaire pour prévenir tout autre épisode infectieux similaire.
FR100003,culture,EVENT,BEFORE,réajustée,EVENT,La culture retrouve un streptococcus anginosus multisensible.
FR100003,streptococcus,EVENT,CONTAINS,culture,EVENT,La culture retrouve un streptococcus anginosus multisensible.
FR100003,antibiothérapie,EVENT,CONTAINS,réajustée,EVENT,L'antibiothérapie initiale a été par la suite réajustée aux résultats de l'hémoculture.
FR100003,résultats,EVENT,BEFORE,réajustée,EVENT,L'antibiothérapie initiale a été par la suite réajustée aux résultats de l'hémoculture.
FR100003,87 batt/min,RML,PERTAINS,fréquence,EVENT,"Lexamen clinique à l'admission trouve un patient asthénique, un érythème discret sur la face latéral du cou, une fréquence cardiaque à 87 batt/min et une PA à 110/70 mmHg."
FR100003,110/70 mmHg,RML,PERTAINS,PA,EVENT,"Lexamen clinique à l'admission trouve un patient asthénique, un érythème discret sur la face latéral du cou, une fréquence cardiaque à 87 batt/min et une PA à 110/70 mmHg."
FR100003,normal,RML,PERTAINS,état,EVENT,"L'état respiratoire était normal: fréquence respiratoire 22 cycles/mn, une SaO2 à 96% à l'air ambiant, une fièvre à 39°."
FR100003,22 cycles/mn,RML,PERTAINS,fréquence,EVENT,"L'état respiratoire était normal: fréquence respiratoire 22 cycles/mn, une SaO2 à 96% à l'air ambiant, une fièvre à 39°."
FR100003,96%,RML,PERTAINS,SaO2,EVENT,"L'état respiratoire était normal: fréquence respiratoire 22 cycles/mn, une SaO2 à 96% à l'air ambiant, une fièvre à 39°."
FR100003,39°,RML,PERTAINS,fièvre,EVENT,"L'état respiratoire était normal: fréquence respiratoire 22 cycles/mn, une SaO2 à 96% à l'air ambiant, une fièvre à 39°."
FR100003,85OOO,RML,PERTAINS,hyperleucocytose,EVENT,"Le bilan biologique initiale montre une hyperleucocytose à 85OOO, une CRP à 350 mg/l et une glycémie à 12 mmol/l."
FR100003,350 mg/l,RML,PERTAINS,CRP,EVENT,"Le bilan biologique initiale montre une hyperleucocytose à 85OOO, une CRP à 350 mg/l et une glycémie à 12 mmol/l."
FR100003,12 mmol/l.,RML,PERTAINS,glycémie,EVENT,"Le bilan biologique initiale montre une hyperleucocytose à 85OOO, une CRP à 350 mg/l et une glycémie à 12 mmol/l."
FR100003,trouve,EVENT,Non annoté,Indéterminé,Aucun,"Lexamen clinique à l'admission trouve un patient asthénique, un érythème discret sur la face latéral du cou, une fréquence cardiaque à 87 batt/min et une PA à 110/70 mmHg."
FR100003,montre,EVENT,Non annoté,Indéterminé,Aucun,"Le bilan biologique initiale montre une hyperleucocytose à 85OOO, une CRP à 350 mg/l et une glycémie à 12 mmol/l."
FR100003,révèle,EVENT,Non annoté,Indéterminé,Aucun,La TDM cervicothoracique révèle un phlegmon avec cellulite profonde abcédée des espaces cervicaux antérolatéraux gauches fusant le long de l''espace retropharyngolaryngé étendue au médiastin compliqué d'une médiastinite associé à un épanchement pleural droit.
FR100003,objective,EVENT,Non annoté,Indéterminé,Aucun,Le panoramique dentaire objective un délabrement de la 45 (3éme molaire) avec granulome de la racine dentaire.
FR100003,pus,EVENT,Non annoté,Indéterminé,Aucun,La ponction sous-cutanée sous anesthésie locale après injection d'un petit volume de sérum physiologique (10 ml) de la collection a ramené du pus.
FR100003,montre,EVENT,Non annoté,Indéterminé,Aucun,L'examen cytobactériologique montre des leucocytes nombreux avec des bactéries abondantes et polymorphes.
FR100003,anaérobies,EVENT,Non annoté,Indéterminé,Aucun,L'examen direct coloré GRAM: Flore bactérienne très abondantes et mixte évoquant les anaérobies.
FR100003,épisode,EVENT,Non annoté,Indéterminé,Aucun,Un traitement complémentaire de la cavité buccale s'est avéré nécessaire pour prévenir tout autre épisode infectieux similaire.
FR100003,retrouve,EVENT,Non annoté,Indéterminé,Aucun,La culture retrouve un streptococcus anginosus multisensible.
FR100003,diabète non-insulinodépendant,CLINENTITY,Non annoté,Indéterminé,Aucun,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,masse,CLINENTITY,Non annoté,Indéterminé,Aucun,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,fébrile,CLINENTITY,Non annoté,Indéterminé,Aucun,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,asthénique,CLINENTITY,Non annoté,Indéterminé,Aucun,"Lexamen clinique à l'admission trouve un patient asthénique, un érythème discret sur la face latéral du cou, une fréquence cardiaque à 87 batt/min et une PA à 110/70 mmHg."
FR100003,érythème,CLINENTITY,Non annoté,Indéterminé,Aucun,"Lexamen clinique à l'admission trouve un patient asthénique, un érythème discret sur la face latéral du cou, une fréquence cardiaque à 87 batt/min et une PA à 110/70 mmHg."
FR100003,fièvre,CLINENTITY,Non annoté,Indéterminé,Aucun,"L'état respiratoire était normal: fréquence respiratoire 22 cycles/mn, une SaO2 à 96% à l'air ambiant, une fièvre à 39°."
FR100003,hyperleucocytose,CLINENTITY,Non annoté,Indéterminé,Aucun,"Le bilan biologique initiale montre une hyperleucocytose à 85OOO, une CRP à 350 mg/l et une glycémie à 12 mmol/l."
FR100003,phlegmon,CLINENTITY,Non annoté,Indéterminé,Aucun,La TDM cervicothoracique révèle un phlegmon avec cellulite profonde abcédée des espaces cervicaux antérolatéraux gauches fusant le long de l''espace retropharyngolaryngé étendue au médiastin compliqué d'une médiastinite associé à un épanchement pleural droit.
FR100003,cellulite,CLINENTITY,Non annoté,Indéterminé,Aucun,La TDM cervicothoracique révèle un phlegmon avec cellulite profonde abcédée des espaces cervicaux antérolatéraux gauches fusant le long de l''espace retropharyngolaryngé étendue au médiastin compliqué d'une médiastinite associé à un épanchement pleural droit.
FR100003,médiastinite,CLINENTITY,Non annoté,Indéterminé,Aucun,La TDM cervicothoracique révèle un phlegmon avec cellulite profonde abcédée des espaces cervicaux antérolatéraux gauches fusant le long de l''espace retropharyngolaryngé étendue au médiastin compliqué d'une médiastinite associé à un épanchement pleural droit.
FR100003,épanchement pleural,CLINENTITY,Non annoté,Indéterminé,Aucun,La TDM cervicothoracique révèle un phlegmon avec cellulite profonde abcédée des espaces cervicaux antérolatéraux gauches fusant le long de l''espace retropharyngolaryngé étendue au médiastin compliqué d'une médiastinite associé à un épanchement pleural droit.
FR100003,granulome de la racine dentaire,CLINENTITY,Non annoté,Indéterminé,Aucun,Le panoramique dentaire objective un délabrement de la 45 (3éme molaire) avec granulome de la racine dentaire.
FR100003,foyer infectieux,CLINENTITY,Non annoté,Indéterminé,Aucun,"Au bloc opératoire sous anesthésie générale, le foyer infectieux est abordé par une large incision cervicale et le phlegmon abcédé a été drainé par des lames descendues à partir de la cervicotomie."
FR100003,phlegmon,CLINENTITY,Non annoté,Indéterminé,Aucun,"Au bloc opératoire sous anesthésie générale, le foyer infectieux est abordé par une large incision cervicale et le phlegmon abcédé a été drainé par des lames descendues à partir de la cervicotomie."
FR100003,collections profondes,CLINENTITY,Non annoté,Indéterminé,Aucun,Une thoracotomie a été réalisée pour drainer les collections profondes au niveau du médiastin.
FR100003,cellulite,CLINENTITY,Non annoté,Indéterminé,Aucun,Une cellulite au stade collecté justifie d'une prise en charge chirurgicale.
FR100003,cellulite,CLINENTITY,Non annoté,Indéterminé,Aucun,"Au décours du drainage de la cellulite, l'extraction de la dent causale a été réalisée."
FR100003,infectieux,CLINENTITY,Non annoté,Indéterminé,Aucun,Un traitement complémentaire de la cavité buccale s'est avéré nécessaire pour prévenir tout autre épisode infectieux similaire.
FR100003,streptococcus anginosus,CLINENTITY,Non annoté,Indéterminé,Aucun,La culture retrouve un streptococcus anginosus multisensible.
FR100003,la face latéral du cou,BODYPART,Non annoté,Indéterminé,Aucun,"Lexamen clinique à l'admission trouve un patient asthénique, un érythème discret sur la face latéral du cou, une fréquence cardiaque à 87 batt/min et une PA à 110/70 mmHg."
FR100003,des espaces cervicaux antérolatéraux gauches,BODYPART,Non annoté,Indéterminé,Aucun,La TDM cervicothoracique révèle un phlegmon avec cellulite profonde abcédée des espaces cervicaux antérolatéraux gauches fusant le long de l''espace retropharyngolaryngé étendue au médiastin compliqué d'une médiastinite associé à un épanchement pleural droit.
FR100003,l''espace retropharyngolaryngé,BODYPART,Non annoté,Indéterminé,Aucun,La TDM cervicothoracique révèle un phlegmon avec cellulite profonde abcédée des espaces cervicaux antérolatéraux gauches fusant le long de l''espace retropharyngolaryngé étendue au médiastin compliqué d'une médiastinite associé à un épanchement pleural droit.
FR100003,médiastin,BODYPART,Non annoté,Indéterminé,Aucun,La TDM cervicothoracique révèle un phlegmon avec cellulite profonde abcédée des espaces cervicaux antérolatéraux gauches fusant le long de l''espace retropharyngolaryngé étendue au médiastin compliqué d'une médiastinite associé à un épanchement pleural droit.
FR100003,la 45 (3éme molaire),BODYPART,Non annoté,Indéterminé,Aucun,Le panoramique dentaire objective un délabrement de la 45 (3éme molaire) avec granulome de la racine dentaire.
FR100003,la racine dentaire,BODYPART,Non annoté,Indéterminé,Aucun,Le panoramique dentaire objective un délabrement de la 45 (3éme molaire) avec granulome de la racine dentaire.
FR100003,du médiastin,BODYPART,Non annoté,Indéterminé,Aucun,Une thoracotomie a été réalisée pour drainer les collections profondes au niveau du médiastin.
FR100003,la dent causale,BODYPART,Non annoté,Indéterminé,Aucun,"Au décours du drainage de la cellulite, l'extraction de la dent causale a été réalisée."
FR100003,la cavité buccale,BODYPART,Non annoté,Indéterminé,Aucun,Un traitement complémentaire de la cavité buccale s'est avéré nécessaire pour prévenir tout autre épisode infectieux similaire.
FR100003,Nous,ACTOR,Non annoté,Indéterminé,Aucun,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,un homme de 55 ans enseignant de fonction,ACTOR,Non annoté,Indéterminé,Aucun,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,un patient,ACTOR,Non annoté,Indéterminé,Aucun,"Lexamen clinique à l'admission trouve un patient asthénique, un érythème discret sur la face latéral du cou, une fréquence cardiaque à 87 batt/min et une PA à 110/70 mmHg."
FR100078,porteur,EVENT,CONTAINS,diagnostic,EVENT,M.J Patient Tunisien âgé de 42 ans est connu porteur de la MB depuis l'âge de 27 ans.
FR100078,diagnostic,EVENT,OVERLAP,colchicine,EVENT,"Le diagnostic était posé devant l'association d'une aphtose buccale récidivante à des aphtes génitaux, des pseudofolliculites nécrotiques, une thrombophlébite du membre inférieur gauche et un Pathergy test positif."
FR100078,aphtose,EVENT,CONTAINS,diagnostic,EVENT,"Le diagnostic était posé devant l'association d'une aphtose buccale récidivante à des aphtes génitaux, des pseudofolliculites nécrotiques, une thrombophlébite du membre inférieur gauche et un Pathergy test positif."
FR100078,aphtes,EVENT,CONTAINS,diagnostic,EVENT,"Le diagnostic était posé devant l'association d'une aphtose buccale récidivante à des aphtes génitaux, des pseudofolliculites nécrotiques, une thrombophlébite du membre inférieur gauche et un Pathergy test positif."
FR100078,pseudofolliculites,EVENT,CONTAINS,diagnostic,EVENT,"Le diagnostic était posé devant l'association d'une aphtose buccale récidivante à des aphtes génitaux, des pseudofolliculites nécrotiques, une thrombophlébite du membre inférieur gauche et un Pathergy test positif."
FR100078,thrombophlébite,EVENT,CONTAINS,diagnostic,EVENT,"Le diagnostic était posé devant l'association d'une aphtose buccale récidivante à des aphtes génitaux, des pseudofolliculites nécrotiques, une thrombophlébite du membre inférieur gauche et un Pathergy test positif."
FR100078,Pathergy,EVENT,BEFORE,diagnostic,EVENT,"Le diagnostic était posé devant l'association d'une aphtose buccale récidivante à des aphtes génitaux, des pseudofolliculites nécrotiques, une thrombophlébite du membre inférieur gauche et un Pathergy test positif."
FR100078,colchicine,EVENT,OVERLAP,aspirine,EVENT,"Le patient était traité au long cours par colchicine, aspirine et prednisone à faible dose (10 mg/j)."
FR100078,colchicine,EVENT,OVERLAP,ulcères,EVENT,"Le patient était traité au long cours par colchicine, aspirine et prednisone à faible dose (10 mg/j)."
FR100078,colchicine,EVENT,OVERLAP,prednisone,EVENT,"Le patient était traité au long cours par colchicine, aspirine et prednisone à faible dose (10 mg/j)."
FR100078,ulcères,EVENT,OVERLAP,récidives,EVENT,Il présentait des ulcères des deux jambes récidivants et invalidants nécessitant l'hospitalisation à plusieurs reprises.
FR100078,ulcères,EVENT,CONTAINS,hospitalisation,EVENT,Il présentait des ulcères des deux jambes récidivants et invalidants nécessitant l'hospitalisation à plusieurs reprises.
FR100078,récidives,EVENT,OVERLAP,poussée,EVENT,A chaque fois les récidives de l'ulcère s'associaient à une poussée cutanéo-muqueuse de la maladie avec notion d'arrêt intempestif de traitement.
FR100078,récidives,EVENT,OVERLAP,examen,EVENT,A chaque fois les récidives de l'ulcère s'associaient à une poussée cutanéo-muqueuse de la maladie avec notion d'arrêt intempestif de traitement.
FR100078,récidives,EVENT,OVERLAP,arrêt,EVENT,A chaque fois les récidives de l'ulcère s'associaient à une poussée cutanéo-muqueuse de la maladie avec notion d'arrêt intempestif de traitement.
FR100078,arrêt,EVENT,TERMINATES,traitement,EVENT,A chaque fois les récidives de l'ulcère s'associaient à une poussée cutanéo-muqueuse de la maladie avec notion d'arrêt intempestif de traitement.
FR100078,traitement,EVENT,ENDS-ON,arrêt,EVENT,A chaque fois les récidives de l'ulcère s'associaient à une poussée cutanéo-muqueuse de la maladie avec notion d'arrêt intempestif de traitement.
FR100078,examen,EVENT,BEFORE,doppler,EVENT,L'examen clinique au moment de ces hospitalisations ne trouvait pas de signes de thrombophlébites superficielles au niveau des jambes et les pouls tibiaux postérieurs et pédieux étaient présents.
