doc_id,source_id,mention_source,source_texte,source_tag,source_docTimeRel,source_eventType,source_contextualModality,source_polarity,source_timexType,relation_type,target_id,mention_target,target_texte,target_tag,target_docTimeRel,target_eventType,target_contextualModality,target_polarity,target_timexType
FR100003,6021/6768,singleton,médiastinite,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5976,singleton,TDM,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6036,singleton,épanchement,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5976,singleton,TDM,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6051,singleton,panoramique,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,6111,singleton,ponction,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6081,singleton,délabrement,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6096,singleton,granulome,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6081,singleton,délabrement,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6051,singleton,panoramique,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6096,singleton,granulome,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6051,singleton,panoramique,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6111,singleton,ponction,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6141,non détecté,ramené,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6111,singleton,ponction,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,6171,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6126,singleton,injection,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,6111,singleton,ponction,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6171,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,6231,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6201,singleton,leucocytes,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6171,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6216,singleton,bactéries,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6171,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6231,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,6291,c56,antibiothérapie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6246,non détecté,abondantes,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6231,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6261,non détecté,mixte,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6231,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6291,c56,antibiothérapie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,6336,c58,bloc,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6291,c56,antibiothérapie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEGINS-ON,6306,non détecté,instaurée,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné
FR100003,6306,non détecté,instaurée,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné,INITIATES,6291,c56,antibiothérapie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6306,non détecté,instaurée,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné,BEFORE,6321,c58,bloc,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6336,c58,bloc,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6366,non détecté,abordé,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6336,c58,bloc,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6411,non détecté,drainé,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6336,c58,bloc,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6426,singleton,thoracotomie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6351,singleton,foyer,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6366,non détecté,abordé,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6366,non détecté,abordé,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6381,singleton,incision,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6396/6800,c33,phlegmon,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6411,non détecté,drainé,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6426,singleton,thoracotomie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,6471/6816,c34,cellulite,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6426,singleton,thoracotomie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6441,non détecté,drainer,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6456,singleton,collections,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6441,non détecté,drainer,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6471/6816,c34,cellulite,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6516,singleton,drainage,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6471/6816,c34,cellulite,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6501,singleton,prise,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6471/6816,c34,cellulite,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6486,non détecté,justifie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6486,non détecté,justifie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,6501,singleton,prise,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6516,singleton,drainage,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,6531,singleton,extraction,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6516,singleton,drainage,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,6546,singleton,traitement,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6546,singleton,traitement,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,6576,non détecté,prévenir,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6546,singleton,traitement,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,6606,singleton,culture,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6546,singleton,traitement,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,SIMULTANEOUS,6561,non détecté,nécessaire,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6606,singleton,culture,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,6666,non détecté,réajustée,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6636,singleton,streptococcus,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6606,singleton,culture,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6651,c56,antibiothérapie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,6666,non détecté,réajustée,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6681,singleton,résultats,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,6666,non détecté,réajustée,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4483,non détecté,porteur,EVENT,OVERLAP,N/A,ACTUAL,POS,Non concerné,CONTAINS,4498,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4498,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4588,singleton,colchicine,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4513,singleton,aphtose,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4498,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4528,singleton,aphtes,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4498,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4543/5354,singleton,pseudofolliculites,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4498,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4558/5362,singleton,thrombophlébite,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4498,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4573,singleton,Pathergy,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,4498,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4588,singleton,colchicine,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4603,singleton,aspirine,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4588,singleton,colchicine,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4633,c18,ulcères,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4588,singleton,colchicine,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4618,singleton,prednisone,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4633,c18,ulcères,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4663,c23,récidives,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4633,c18,ulcères,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4648,c20,hospitalisation,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4663,c23,récidives,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4678,singleton,poussée,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4663,c23,récidives,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4723,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4663,c23,récidives,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4693,singleton,arrêt,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné
FR100078,4693,singleton,arrêt,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné,TERMINATES,4708,singleton,traitement,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4708,singleton,traitement,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,ENDS-ON,4693,singleton,arrêt,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné
FR100078,4723,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,4798,singleton,doppler,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4723,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4993/5466,c53,surinfection,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4723,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4753,singleton,thrombophlébites,EVENT,BEFORE,N/A,ACTUAL,NEG,Non concerné
FR100078,4768,singleton,pouls,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4723,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4768,singleton,pouls,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,SIMULTANEOUS,4783,non détecté,présents,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4798,singleton,doppler,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4843,singleton,thrombose,EVENT,BEFORE,N/A,ACTUAL,NEG,Non concerné
FR100078,4798,singleton,doppler,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,4858,singleton,doppler,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4798,singleton,doppler,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4828,singleton,insuffisance,EVENT,BEFORE,N/A,ACTUAL,NEG,Non concerné
FR100078,4858,singleton,doppler,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4888/5426,singleton,artériopathie,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,NEG,Non concerné
FR100078,4858,singleton,doppler,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4903,singleton,indice,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4903,singleton,indice,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,4918,singleton,biopsie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4948,singleton,vascularite,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4918,singleton,biopsie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4948,singleton,vascularite,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4963/5450,singleton,micro-thromboses,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4978,singleton,infiltration,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4918,singleton,biopsie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4993/5466,c53,surinfection,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,5008,singleton,antibiotiques,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,4993/5466,c53,surinfection,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,ENDS-ON,5023,singleton,dernière,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné
FR100078,5023,singleton,dernière,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné,REINITIATES,4993/5466,c53,surinfection,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5023,singleton,dernière,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné,SIMULTANEOUS,5038,singleton,pseudomonas,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5023,singleton,dernière,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné,OVERLAP,5053,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5053,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5158,non détecté,éliminant,EVENT,BEFORE,EVIDENTIAL,ACTUAL,POS,Non concerné
FR100078,5053,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,5188,singleton,traitements,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5083,singleton,signes,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5053,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5083,singleton,signes,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5143,singleton,C-réactive,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5098/5490,singleton,fièvre,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5053,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5113,singleton,pus,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5053,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5128/5506,singleton,hyperleucocytose,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5053,singleton,diagnostic,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5158,non détecté,éliminant,EVENT,BEFORE,EVIDENTIAL,ACTUAL,POS,Non concerné,OVERLAP,5173,singleton,colonisation,EVENT,BEFORE,N/A,ACTUAL,NEG,Non concerné
FR100078,5188,singleton,traitements,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5263,singleton,évolution,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5188,singleton,traitements,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5203,singleton,antibiothérapie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5188,singleton,traitements,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5293/5538,c23,récidives,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5188,singleton,traitements,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5218,singleton,reprise,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné
FR100078,5218,singleton,reprise,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné,REINITIATES,5233,singleton,colchicine,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5218,singleton,reprise,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné,REINITIATES,5248,singleton,glucocorticoïdes,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5233,singleton,colchicine,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEGINS-ON,5218,singleton,reprise,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné
FR100078,5248,singleton,glucocorticoïdes,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEGINS-ON,5218,singleton,reprise,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné
FR100078,5263,singleton,évolution,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5278,singleton,cicatrisation,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5293/5538,c23,récidives,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,SIMULTANEOUS,5308,non détecté,fréquentes,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100078,5323,singleton,observance,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,5293/5538,c23,récidives,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100092,4744,non détecté,admise,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4699,non détecté,âgée,EVENT,OVERLAP,N/A,ACTUAL,POS,Non concerné
FR100092,4744,non détecté,admise,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,4819,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100092,4744,non détecté,admise,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4729,non détecté,nullipare,EVENT,OVERLAP,N/A,ACTUAL,POS,Non concerné
FR100092,4744,non détecté,admise,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,4714,non détecté,mariée,EVENT,OVERLAP,N/A,ACTUAL,POS,Non concerné
FR100092,4759/5539,singleton,douleur,EVENT/CLINENTITY,OVERLAP,N/A,ACTUAL,POS,Non concerné,CONTAINS,4744,non détecté,admise,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100092,4774,non détecté,apparue,EVENT,BEFORE,ASPECTUAL,ACTUAL,POS,Non concerné,INITIATES,4759/5539,singleton,douleur,EVENT/CLINENTITY,OVERLAP,N/A,ACTUAL,POS,Non concerné
FR100092,4789/5547,singleton,métrorragies,EVENT/CLINENTITY,OVERLAP,N/A,ACTUAL,POS,Non concerné,OVERLAP,4759/5539,singleton,douleur,EVENT/CLINENTITY,OVERLAP,N/A,ACTUAL,POS,Non concerné
FR100092,4804,singleton,aménorrhée,EVENT,OVERLAP,N/A,ACTUAL,POS,Non concerné,OVERLAP,4789/5547,singleton,métrorragies,EVENT/CLINENTITY,OVERLAP,N/A,ACTUAL,POS,Non concerné
FR100092,4819,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4879,singleton,fréquence,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100092,4819,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,4894,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100092,4819,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4864,singleton,tension,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100092,4834/5555,non détecté,apyrétique,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4819,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100092,4849,singleton,conjonctives,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4819,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100092,4894,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,4939,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100092,4924,singleton,sensibilité,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,4894,singleton,examen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
