doc,mention_id,texte_maillon,tete_lexicale,nature,fonction
IT100003,c1,Gabriele,Gabriele,Np,autre
IT100003,c15,una malattia improvvisa,malattia,SNind,Obl
IT100003,c17,fratello,fratello,SN∅,autre
IT100003,c18,alcuni amici,amici,SNind,autre
IT100003,c16,la presenza di il fratello e di alcuni amici,presenza,SNdef,Obl
IT100003,c1,Gabriele,Gabriele,Np,Suj
IT100003,c4,il diabete,diabete,SNdef,OD
IT100003,c1,proprio,proprio,SNind,autre
IT100003,c19,proprio domicilio,domicilio,SNind,autre
IT100003,c19,casa,casa,SN∅,Obl
IT100003,c21,barriere architettoniche importanti,barriere,SN∅,autre
IT100003,c20,la presenza di barriere architettoniche importanti,presenza,SNdef,Obl
IT100003,c1,i suoi,i,SNdef,autre
IT100003,c12,i suoi deficit motori,deficit,SNdef,Suj
IT100003,c22,La presa in carico,presa,SNdef,Suj
IT100003,c25,l’ ASUGI di Trieste,ASUGI,Np,autre
IT100003,c24,Distretto n. 1 di l’ ASUGI di Trieste,Distretto,SN∅,autre
IT100003,c23,i servizi territoriali di il Distretto n. 1 di l’ ASUGI di Trieste,servizi,SNdef,autre
IT100003,c6,Trieste,Trieste,Np,autre
IT100003,c28,l’ infermiera,infermiera,SNdef,Obl
IT100003,c27,"un’ equipe composta da l’ infermiera , da il medico di medicina generale",equipe,SNind,autre
IT100003,c29,il fisioterapista,fisioterapista,SNdef,autre
IT100003,c30,l’ assistente sociale,assistente,SNdef,autre
IT100003,c32,la rete,rete,SNdef,autre
IT100003,c33,un piano assistenziale individuale,piano,SNind,autre
IT100003,c31,l’ attivazione di la rete e di un piano assistenziale individuale,attivazione,SNdef,Obl
IT100003,c26,"una valutazione da parte di un’ equipe composta da l’ infermiera , da il medico di medicina generale , da il fisioterapista e da l’ assistente sociale per l’ attivazione di la rete e di un piano assistenziale individuale",valutazione,SNind,Obl
IT100003,c33,piano assistenziale,piano,SN∅,autre
IT100003,c35,i bisogni,bisogni,SNdef,autre
IT100003,c36,la collaborazione di Gabriele,collaborazione,SNdef,autre
IT100003,c34,La costruzione di il piano assistenziale in base a i bisogni e a la collaborazione di Gabriele,costruzione,SNdef,Suj
IT100003,c1,Gabriele,Gabriele,Np,autre
IT100003,c38,fisiatra,fisiatra,SN∅,autre
IT100003,c39,un programma riabilitativo,programma,SNind,autre
IT100003,c29,fisioterapista,fisioterapista,SN∅,autre
IT100003,c1,la persona,persona,SNdef,autre
IT100003,c41,le necessità di la persona,necessità,SNdef,Obl
IT100003,c40,la fornitura di ausili adeguati a le necessità di la persona,fornitura,SNdef,autre
IT100003,c37,l’ intervento di il fisiatra per un programma riabilitativo e di il fisioterapista per la fornitura di ausili adeguati a le necessità di la persona,intervento,SNdef,OD
IT100003,c42,Un letto articolato,letto,SNind,Suj
IT100003,c43,un materasso antidecubito,materasso,SNind,autre
IT100003,c14,una carrozzina,carrozzina,SNind,autre
IT100003,c19,la casa,casa,SNdef,autre
IT100003,c44,la mobilità sicura a l’ interno di la casa,mobilità,SNdef,OD
IT100003,c45,l’ intervento più significativo,intervento,SNdef,Suj
IT100003,c46,uno scendiscale,scendiscale,SNind,autre
IT100003,c19,l’ abitazione,abitazione,SNdef,Obl
IT100003,c21,le barriere architettoniche,barriere,SNdef,OD
IT100003,c14,una carrozzina elettrica specifica per uscire da l’ abitazione e superare le barriere architettoniche,carrozzina,SNind,autre
IT100003,c45,la fornitura di uno scendiscale e di una carrozzina elettrica specifica per uscire da l’ abitazione e superare le barriere architettoniche,fornitura,SNdef,autre
IT100003,c30,L’ assistente sociale,assistente,SNdef,Suj
IT100003,c48,un progetto di sostegno a il reddito,progetto,SNind,autre
IT100003,c47,l’ attivazione di un progetto di sostegno a il reddito,attivazione,SNdef,Obl
IT100003,c50,una badante per venti ore a la settimana,badante,SNind,autre
IT100003,c49,il contributo per una badante per venti ore a la settimana,contributo,SNdef,autre
IT100003,c1,l’ uomo,uomo,SNdef,OD
IT100003,c52,la vita quotidiana,vita,SNdef,autre
IT100003,c51,tutte le attività di la vita quotidiana,attività,SNind,Obl
IT100003,c22,la presa in carico,presa,SNdef,Obl
IT100003,c26,"la valutazione multidimensionale con scheda Valgraf , prevista per la presa in carico",valutazione,SNdef,Obl
IT100003,c53,la valutazione con la scala PHE -S®,valutazione,SNdef,Suj
IT100003,c53,che,che,Pro,Suj
IT100003,c54,un valore basso di engagement pari a 2,valore,SNind,OD
IT100003,c32,la rete assistenziale,rete,SNdef,autre
IT100003,c34,la costruzione di la rete assistenziale,costruzione,SNdef,autre
IT100003,c55,La rivalutazione a 4 mesi di distanza dopo la costruzione di la rete assistenziale,rivalutazione,SNdef,Suj
IT100003,c56,un innalzamento di mezzo punto,innalzamento,SNind,OD
IT100003,c1,Gabriele,Gabriele,Np,Suj
IT100003,c1,il suo,il,SNdef,autre
IT100003,c58,il processo di cura,processo,SNdef,Obl
IT100003,c57,il suo ruolo attivo in il processo di cura,ruolo,SNdef,OD
IT100003,c59,tutte le competenze acquisite,competenze,SNind,OD
IT100003,c57,lo,lo,SNdef,OD
IT100003,c1,la sua,la,SNdef,autre
IT100003,c14,la sua carrozzina elettrica,carrozzina,SNdef,Obl
IT100003,c60,le vie di il paese,vie,SNdef,autre
IT100003,c6,paese,paese,SN∅,autre
IT100003,c4,il diabete,diabete,SNdef,autre
IT100003,c61,i controlli per il diabete,controlli,SNdef,Obl
IT100003,c63,la diabetologa,diabetologa,SNdef,Obl
IT100003,c62,le glicemie stabili in i range previsti da la diabetologa,glicemie,SNdef,autre
IT100003,c1,le sue,le,SNdef,autre
IT100003,c2,le sue patologie,patologie,SNdef,Obl
IT100003,c64,uno stile di vita adeguato a le sue patologie,stile,SNind,OD
IT100010,c2,"una donna di 84 anni , forte fumatrice per circa 30 anni",donna,SNind,autre
IT100010,c1,"il caso clinico di una donna di 84 anni , forte fumatrice per circa 30 anni",caso,SNdef,Suj
IT100010,c3,malattie renali,malattie,SN∅,autre
IT100010,c5,la terapia farmacologica ( calcio antagonisti,terapia,SNdef,Obl
IT100010,c4,"ipertensione arteriosa da almeno 20 anni controllata da la terapia farmacologica ( calcio antagonisti , diuretici )",ipertensione,SN∅,autre
IT100010,c6,colelitiasi,colelitiasi,SN∅,autre
IT100010,c8,terapia sostitutiva ormonale,terapia,SN∅,autre
IT100010,c7,ipotiroidismo in terapia sostitutiva ormonale,ipotiroidismo,SN∅,autre
IT100010,c10,l’ udito,udito,SNdef,autre
IT100010,c9,disturbi di l’ udito,disturbi,SN∅,autre
IT100010,c11,quadrantectomia mammaria destra per carcinoma,quadrantectomia,SN∅,autre
IT100010,c12,carcinoma,carcinoma,SN∅,autre
IT100010,c13,l’ età di 80 anni,età,SNdef,Obl
IT100010,c2,la paziente,paziente,SNdef,Suj
IT100010,c14,due ricoveri durante i quali,ricoveri,SNnum,OD
IT100010,c15,"addensamenti polmonari multipli , bilaterali",addensamenti,SN∅,Suj
IT100010,c16,“ Alveolite allergica estrinseca ”,Alveolite,SN∅,autre
IT100010,c14,tale occasione,occasione,SNind,Obl
IT100010,c17,steroide a seguito di il quale,steroide,SN∅,autre
IT100010,c2,la paziente,paziente,SNdef,Suj
IT100010,c18,quadro clinico,quadro,SN∅,autre
IT100010,c19,la funzione renale,funzione,SNdef,autre
IT100010,c20,l’ età di 82 anni,età,SNdef,Obl
IT100010,c2,la paziente,paziente,SNdef,Suj
IT100010,c21,"insufficienza renale acuta rapidamente progressiva ( creatininemia 1,5→6 mg/dL )",insufficienza,SN∅,Obl
IT100010,c22,insufficienza respiratoria,insufficienza,SN∅,autre
IT100010,c2,la paziente,paziente,SNdef,Suj
IT100010,c23,dolori osteoarticolari diffusi,dolori,SN∅,OD
IT100010,c24,tosse secca,tosse,SN∅,autre
IT100010,c25,la radiografia di il torace,radiografia,SNdef,Obl
IT100010,c26,torace,torace,SN∅,autre
IT100010,c15,addensamenti polmonari bilaterali,addensamenti,SN∅,Suj
IT100010,c27,La TC di il torace,TC,Np,Suj
IT100010,c26,torace,torace,SN∅,autre
IT100010,c28,parenchima polmonare,parenchima,SN∅,autre
IT100010,c29,edema alveolare,edema,SN∅,autre
IT100010,c15,addensamenti parenchimali multipli,addensamenti,SN∅,autre
IT100010,c30,Un ecocardiogramma,ecocardiogramma,SNind,Suj
IT100010,c20,l’ età,età,SNdef,autre
IT100010,c2,La paziente,paziente,SNdef,Suj
IT100010,c31,una broncoscopia che,broncoscopia,SNind,OD
IT100010,c33,liquido alveolare,liquido,SN∅,autre
IT100010,c34,numerosi macrofagi contenenti pigmento emosiderinico,macrofagi,SNind,autre
IT100010,c32,l’ esame citologico di il liquido alveolare mostrava la presenza di numerosi macrofagi contenenti pigmento emosiderinico,mostrava,Autre,autre
IT100010,c35,"Gli esami colturali ( germi comuni , BK )",esami,SNdef,Suj
IT100010,c2,La paziente,paziente,SNdef,Suj
IT100010,c36,agobiopsia renale che,agobiopsia,SN∅,OD
IT100010,c38,le membrane basali glomerulari,membrane,SNdef,autre
IT100010,c39,S. di Goodpasture,S.,Np,Obl
IT100010,c37,glomerulonefrite crescentica necrotizzante con depositi lineari di IgG in le membrane basali glomerulari compatibile con S. di Goodpasture,glomerulonefrite,SN∅,autre
IT100010,c41,il siero,siero,SNdef,autre
IT100010,c42,anticorpi antimembrana basale glomerulare ( anti MBG ),anticorpi,SN∅,autre
IT100010,c40,Presenza in il siero di anticorpi antimembrana basale glomerulare ( anti MBG ),Presenza,SN∅,autre
IT100010,c44,anticorpi anti citoplasma di i neutrofili ( ANCA ),anticorpi,SN∅,autre
IT100010,c43,la ricerca di anticorpi anti citoplasma di i neutrofili ( ANCA ),ricerca,SNdef,autre
IT100010,c2,La paziente,paziente,SNdef,Suj
IT100010,c45,terapia steroidea,terapia,SN∅,OD
IT100010,c46,os,os,SN∅,autre
IT100010,c47,boli mensili di ciclofosfamide e plasmaferesi,boli,SN∅,autre
IT100010,c18,quadro clinico,quadro,SN∅,autre
IT100010,c42,gli anti MBG,MBG,Np,autre
IT100010,c48,negativizzazione di gli anti MBG,negativizzazione,SN∅,autre
IT100010,c2,La paziente,paziente,SNdef,Suj
IT100010,c50,acido micofenolico,acido,SN∅,autre
IT100010,c49,terapia immunosoppressiva con acido micofenolico e cortisone,terapia,SN∅,OD
IT100010,c51,cortisone,cortisone,SN∅,autre
IT100010,c52,oltre un anno,anno,SNind,Obl
IT100010,c52,questo periodo,periodo,SNdem,autre
IT100010,c42,anti MBG,MBG,Np,autre
IT100010,c44,ANCA,ANCA,Np,autre
IT100010,c53,La creatinina,creatinina,SNdef,Suj
IT100010,c20,l’ età di 84 anni,età,SNdef,autre
IT100010,c49,la terapia immunosoppressiva,terapia,SNdef,autre
IT100010,c54,la sospensione di la terapia immunosoppressiva,sospensione,SNdef,autre
IT100010,c37,malattia,malattia,SN∅,autre
IT100010,c21,l’ insufficienza renale,insufficienza,SNdef,autre
IT100010,c55,emodialisi,emodialisi,SN∅,autre
IT100010,c37,la patologia polmonare,patologia,SNdef,autre
IT100010,c56,Il quadro laboratoristico,quadro,SNdef,Suj
IT100010,c42,gli anti MBG,MBG,Np,autre
IT100010,c40,negatività di gli anti MBG,negatività,SN∅,OD
IT100010,c44,p-ANCA,p-ANCA,SN∅,autre
IT100010,c27,L’ esame TC torace,esame,SNdef,Suj
IT100010,c26,torace,torace,SN∅,autre
IT100010,c58,la trama interstiziale,trama,SNdef,autre
IT100010,c57,limitato ispessimento di natura reticolare e reticolo - nodulare di la trama interstiziale,ispessimento,SN∅,autre
IT100010,c31,broncoscopia,broncoscopia,SN∅,Suj
IT100010,c2,la paziente,paziente,SNdef,autre
IT100010,c31,l’ esame,esame,SNdef,OD
IT100010,c59,"gli esami colturali ( escreatocoltura , urinocoltura )",esami,SNdef,autre
IT100010,c37,la malattia autoimmunitaria,malattia,SNdef,autre
IT100010,c60,una riattivazione di la malattia autoimmunitaria,riattivazione,SNind,autre
IT100010,c59,esami colturali negativi,esami,SN∅,autre
IT100010,c2,la paziente,paziente,SNdef,Suj
IT100010,c51,cortisone,cortisone,SN∅,autre
IT100010,c62,boli di cortisone ev,boli,SN∅,OD
IT100010,c63,l’ evoluzione clinica,evoluzione,SNdef,Suj
IT100010,c64,polmonite da K. pneumoniae,polmonite,SN∅,Obl
IT100010,c64,che,che,Pro,Suj
IT100010,c2,la paziente,paziente,SNdef,autre
IT100010,c65,il decesso di la paziente,decesso,SNdef,OD
IT100010,c61,l’ evidenza di esami colturali negativi la paziente praticava nuovamente boli di cortisone ev ma l’ evoluzione clinica era complicata da polmonite da K. pneumoniae che determinava rapidamente il decesso di la paziente,evidenza,SNdef,autre
IT100015,c2,"una paziente di anni 52 , con diagnosi bioptica in il 1983",paziente,SNind,autre
IT100015,c3,GN membranosa,GN,Np,autre
IT100015,c4,follow-up,follow-up,SN∅,Obl
IT100015,c5,"un grado di insufficienza renale avanzato ( Crs 4,5 mg/dl )",grado,SNind,Obl
IT100015,c1,"il caso di una paziente di anni 52 , con diagnosi bioptica in il 1983 di GN membranosa , sottratta si a il follow-up per alcuni anni e ripresa in carico ambulatoriale con un grado di insufficienza renale avanzato ( Crs 4,5 mg/dl )",caso,SNdef,OD
IT100015,c6,la dialisi peritoneale,dialisi,SNdef,Obl
IT100015,c7,alcune controindicazioni cliniche,controindicazioni,SNind,autre
IT100015,c2,la paziente,paziente,SNdef,autre
IT100015,c8,il maggio 2005,maggio,SNdef,Obl
IT100015,c10,FAV radiocefalica sinistra,FAV,Np,autre
IT100015,c10,che,che,Pro,Suj
IT100015,c11,un episodio ipotensivo,episodio,SNind,autre
IT100015,c12,trombosi precoce,trombosi,SN∅,Obl
IT100015,c9,"un primo intervento di confezionamento di FAV radiocefalica sinistra che poche settimane dopo , in concomitanza di un episodio ipotensivo , andava incontro a trombosi precoce",intervento,SNind,Obl
IT100015,c8,lo stesso anno,anno,SNdef,autre
IT100015,c13,una FAV prossimale omerocefalica sinistra,FAV,Np,autre
IT100015,c14,Il trattamento emodialitico cronico,trattamento,SNdef,Suj
IT100015,c15,il dicembre 2006,dicembre,SNdef,Obl
IT100015,c16,dialisi,dialisi,SN∅,autre
IT100015,c18,dilatazione,dilatazione,SN∅,autre
IT100015,c10,la FAV,FAV,Np,autre
IT100015,c17,"progressivi segni di dilatazione , tortuosità , iperpulsatilità di la FAV",segni,SN∅,Suj
IT100015,c16,dialisi,dialisi,SN∅,autre
IT100015,c20,un ecodoppler,ecodoppler,SNind,autre
IT100015,c21,stenosi,stenosi,SN∅,autre
IT100015,c22,la vena,vena,SNdef,autre
IT100015,c23,braccio,braccio,SN∅,autre
IT100015,c24,il colordoppler,colordoppler,SNdef,Suj
IT100015,c26,la confluenza cefalico - succlavia,confluenza,SNdef,OD
IT100015,c25,tratto precedente la confluenza cefalico - succlavia,tratto,SN∅,autre
IT100015,c27,succlavia,succlavia,Autre,autre
IT100015,c28,spiccate turbolenze,turbolenze,SN∅,autre
IT100015,c28,cui,cui,Pro,OI
IT100015,c29,duplex,duplex,SN∅,Obl
IT100015,c31,la velocità di flusso,velocità,SNdef,autre
IT100015,c30,"un notevole aumento di la velocità di flusso fino a 4,5 m/s",aumento,SNind,OD
IT100015,c19,"L’ esecuzione di un ecodoppler , non metteva in evidenza segni di stenosi su il decorso di la vena a livello di il braccio , mentre più prossimalmente il colordoppler registrava a livello di il tratto precedente la confluenza cefalico - succlavia spiccate turbolenze cui corrispondeva a il duplex un notevole aumento di la velocità di flusso fino a 4,5 m/s",metteva,Autre,autre
IT100015,c32,Il reperto in il complesso,reperto,SNdef,Suj
IT100015,c33,una stenosi serrata,stenosi,SNind,autre
IT100015,c34,Lo studio flebografico,studio,SNdef,Suj
IT100015,c35,vena cefalica e succlavia,vena,SN∅,autre
IT100015,c26,la confluenza tra vena cefalica e succlavia,confluenza,SNdef,autre
IT100015,c27,succlavia,succlavia,SN∅,autre
IT100015,c33,una stenosi pre-occlusiva a la confluenza tra vena cefalica e succlavia che,stenosi,SNind,OD
IT100015,c36,PTA a 7 mm,PTA,Np,Obl
IT100015,c37,9 mm a 14 atm,mm,SNnum,autre
IT100015,c39,calibro vascolare,calibro,SN∅,autre
IT100015,c38,l’ adeguato ripristino di il calibro vascolare,ripristino,SNdef,OD
IT100015,c41,100 mg/die di acido acetilsalicilico,mg/die,SNnum,Obl
IT100015,c40,terapia antiaggregante con 100 mg/die di acido acetilsalicilico,terapia,SN∅,Suj
IT100015,c43,novembre 2008,novembre,SN∅,autre
IT100015,c42,Il controllo ecodoppler di il novembre 2008,controllo,SNdef,Suj
IT100015,c33,la stenosi precedentemente dilatata,stenosi,SNdef,autre
IT100015,c33,che,che,Pro,Suj
IT100015,c36,PTA,PTA,Np,Obl
IT100015,c44,"recidiva di la stenosi precedentemente dilatata che veniva sottoposta nuovamente a PTA mediante cateteri a palloncino da 7 e 8 mm sino a 30 atm e successivamente da 10 mm , con buon esito angiografico",recidiva,SN∅,OD
IT100015,c45,il marzo 2009,marzo,SNdef,Obl
IT100015,c20,l’ ecodoppler,ecodoppler,SNdef,Suj
IT100015,c17,segni di recidiva stenotica,segni,SN∅,OD
IT100015,c46,palloni ad alta pressione ( Conquest da 7 e 8 mm gonfiati fino a 30 atmosfere,palloni,SN∅,autre
IT100015,c47,l’ angioradiologo,angioradiologo,SNdef,Suj
IT100015,c48,stent convenzionale a 9 mm,stent,SN∅,autre
IT100015,c40,La terapia antiaggregante,terapia,SNdef,Suj
IT100015,c49,doppia copertura farmacologica ( acido acetilsalicilico 100 mg,copertura,SN∅,Obl
IT100015,c50,ticlopidina 250 mg die,ticlopidina,SN∅,autre
IT100015,c51,maggio 2011,maggio,SN∅,Obl
IT100015,c52,i controlli ecodoppler,controlli,SNdef,Suj
IT100015,c48,lo stent,stent,SNdef,autre
IT100015,c55,l’ accesso,accesso,SNdef,autre
IT100015,c54,flusso di l’ accesso,flusso,SN∅,autre
